stock,taxa,variable,year,mean,sd,lower,upper,status
Ocyurus chrysurus3,Ocyurus chrysurus3,b_div_bmsy,2019,0.168785158152518,1.27689551473876,0.0206626715292114,1.2205244704301,overfished
Scomberomorus cavalla,Scomberomorus cavalla,b_div_bmsy,2019,0.372682042188017,1.44453790056877,0.0379575233858352,3.73161600266143,overfished
Pogonias cromis,Pogonias cromis,b_div_bmsy,2019,0.291378670818101,1.43941820212557,0.0262479233738486,2.91220201076631,overfished
Mugil liza,Mugil liza,b_div_bmsy,2019,1.32903179889483,0.222165935373621,0.930422135489557,1.88121054464277,underfished
Opisthonema oglinum,Opisthonema oglinum,b_div_bmsy,2019,1.08858202950439,0.295995473731242,0.672236029434268,1.72757003700496,fully fished
Lobatus gigas2,Lobatus gigas2,b_div_bmsy,2019,0.102947605810638,1.49756760957607,0.00889519434991844,1.01119846152656,overfished
Ocyurus chrysurus2,Ocyurus chrysurus2,b_div_bmsy,2019,0.409235092304963,1.34707400453868,0.0498840137099863,3.61190053586083,overfished
Scomberomorus cavalla3,Scomberomorus cavalla3,b_div_bmsy,2019,0.267066542628796,0.22133506665179,0.188730491591398,0.383503470848473,overfished
Centropomus undecimalis,Centropomus undecimalis,b_div_bmsy,2019,1.13994343199178,0.246247965027184,0.827854870983866,1.75814491304832,fully fished
Crassostrea virginica,Crassostrea virginica,b_div_bmsy,2019,0.286161447895608,1.37361012181337,0.0316851332488616,2.39360426248037,overfished
Micropogonias furnieri,Micropogonias furnieri,b_div_bmsy,2019,0.260294612019886,1.428440824326,0.0258899054683345,2.49091066743719,overfished
Menticirrhus littoralis,Menticirrhus littoralis,b_div_bmsy,2019,0.153221125800242,1.31653954418204,0.0181098922215233,1.15093346213191,overfished
Lutjanus synagris2,Lutjanus synagris2,b_div_bmsy,2019,0.113288411330363,1.40443028556748,0.0116443623298146,1.02645031457618,overfished
Lobatus gigas,Lobatus gigas,b_div_bmsy,2019,0.30064269766604,1.34174655602024,0.0311965048442481,2.19609315912041,overfished
Scomberomorus cavalla2,Scomberomorus cavalla2,b_div_bmsy,2019,0.36920973862462,1.36824120492827,0.0408964643534001,3.42714726695343,overfished
Scomberomorus brasiliensis,Scomberomorus brasiliensis,b_div_bmsy,2019,1.10239407737512,0.222398490504651,0.770220463681847,1.56919492665658,fully fished
Callinectes sapidus,Callinectes sapidus,b_div_bmsy,2019,0.497939135181373,1.43610240507029,0.0524924937367248,4.77479392631575,overfished
