"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,34948.5868726609,17016.8730179259,14916.7646384162,65210.4935184672
"2","b_t",1952,40309.7659695612,21590.7857073732,15852.1487487093,79514.6852906478
"3","b_t",1953,36705.1761241905,20371.7921917799,14282.3502734507,72163.3718743131
"4","b_t",1954,32259.5190465437,18327.4138500833,11921.7427800956,63300.563965941
"5","b_t",1955,26739.3370670077,15053.5535121016,10203.1734804097,52836.8022997432
"6","b_t",1956,23495.3281208982,12881.1959085512,9075.61657699973,46363.286177048
"7","b_t",1957,24415.1287010756,13332.8705063972,9275.26670632304,48091.8055175058
"8","b_t",1958,31400.1129133752,17200.7754842434,11970.8566896864,63840.7627520456
"9","b_t",1959,36889.9820985044,20261.7953798413,14115.3598014661,73349.1709601551
"10","b_t",1960,46986.9371199136,25898.8817281851,17691.422751039,93261.1601990486
"11","b_t",1961,51049.1334975689,27575.7627387851,19598.5260321036,101237.796684061
"12","b_t",1962,87608.1316685288,49371.9011098791,33400.7299813354,177466.928965619
"13","b_t",1963,105162.159217939,56615.5754069418,38507.5007906086,208249.15091489
"14","b_t",1964,119994.492812626,65965.6526817431,45008.3033112836,242429.939510135
"15","b_t",1965,92518.633385132,52038.2207161878,34860.7863480236,186198.064370096
"16","b_t",1966,58916.9606892474,33028.6428003994,21428.3879484852,117999.089902867
"17","b_t",1967,52905.5219563137,29721.5368099936,20042.0675330689,106667.461795911
"18","b_t",1968,38662.0674402719,22208.2243177379,14768.2678132882,79772.7925756706
"19","b_t",1969,25973.1430716868,14664.8747183703,9930.77429010642,52112.5817253931
"20","b_t",1970,15281.7730438769,8874.02466982317,5828.94355424011,30915.5576013462
"21","b_t",1971,13011.7090891483,7295.55151018789,4880.67020569482,25765.2606573541
"22","b_t",1972,13865.0104505853,7729.70239697705,5193.29545896578,27296.7430791095
"23","b_t",1973,11894.6832989314,6738.19891813454,4441.81468126281,23034.1490713023
"24","b_t",1974,12064.1602577188,6824.687847924,4665.88864822572,23978.3066367353
"25","b_t",1975,13224.3500028659,7366.62588752628,5074.29872801937,26911.1649846709
"26","b_t",1976,15998.3528466617,8703.03981783023,6201.17580041225,31795.0773584086
"27","b_t",1977,22239.2984957474,12028.3728439718,8532.44549993328,44257.5870957023
"28","b_t",1978,28767.9181800048,16290.4248305069,10803.8323827981,59765.7549641498
"29","b_t",1979,28787.0307568576,16065.6071834956,10778.1365568159,58275.1759061125
"30","b_t",1980,28405.3876480094,15810.8681882335,10705.8042642715,57422.5800974377
"31","b_t",1981,29475.9364653962,16765.2137261797,11211.3802561801,58765.7487669863
"32","b_t",1982,25973.9427778955,14496.0444080136,9858.15763562108,51358.5623592157
"33","b_t",1983,28702.6270802475,15973.0817349652,10685.3475592014,56563.5220809483
"34","b_t",1984,32120.9800852861,17604.1813440891,12473.1689375344,64245.893470141
"35","b_t",1985,46563.9703588822,25675.8726760107,17507.3798737762,95486.1715820653
"36","b_t",1986,51241.9510080095,28724.952663384,19198.5294178642,102846.371662607
"37","b_t",1987,38646.3687145297,21359.3838408689,14741.2741864494,76197.5110396519
"38","b_t",1988,34235.4786276983,19227.7744075498,13005.6929263907,68351.2395358964
"39","b_t",1989,30301.8371627169,16577.3748193723,11667.6187284299,61661.8465728974
"40","b_t",1990,24758.8607701278,13706.9999113653,9607.5348705235,48363.3899755751
"41","b_t",1991,34986.8937929228,19216.1511967217,13536.7076104922,69561.4888340284
"42","b_t",1992,38591.3525204478,21416.559267857,14955.5516140015,76478.4270398677
"43","b_t",1993,38741.283971975,21661.4309851728,15064.1816075445,76899.4392910786
"44","b_t",1994,39874.3501661768,21134.5959328056,15689.083170412,79169.2557113636
"45","b_t",1995,39490.1654486186,21989.4799663433,15009.7214750423,77831.2979119633
"46","b_t",1996,38401.8384105005,20625.2507965237,15278.598034088,75712.0356118365
"47","b_t",1997,35467.2411040318,19758.6990973722,13469.8628540867,69797.5571958293
"48","b_t",1998,36985.3684027905,20704.7480436728,14192.8323030519,74528.1437248454
"49","b_t",1999,41915.9436808319,22725.2803550263,16363.919641068,83518.8071056273
"50","b_t",2000,47425.2088156144,25595.1607197043,17863.632057413,93616.4493951663
"51","b_t",2001,56308.5393358727,31314.3917914799,21960.887041672,110086.531484885
"52","b_t",2002,69515.151960534,38281.4200349191,26407.0368630129,139266.323374727
"53","b_t",2003,73895.3317672037,40386.3047166573,27981.4304544625,147487.497224932
"54","b_t",2004,86199.9159375839,49263.7748869281,32758.2909161286,170565.56415937
"55","b_t",2005,67301.5379780298,37424.3507528836,24645.9714610764,133996.491721059
"56","b_t",2006,67608.2704329933,36585.0255878589,25106.7705068344,133229.482580773
"57","b_t",2007,54277.9169102731,29807.828953154,20133.3448961493,106447.079924937
"58","b_t",2008,45703.6069886702,25614.7543381939,16940.0331228677,91871.813968819
"59","b_t",2009,42441.7573398746,23504.0122035903,15987.915941532,85118.5625058991
"60","b_t",2010,38022.845893124,20825.845339123,14612.7455500161,75731.6426577382
"61","b_t",2011,37405.127170258,20876.8668634752,14524.5796327853,74823.5433651389
"62","b_t",2012,51072.9074861941,29032.5468157197,19664.4113669043,102605.009357018
"63","b_t",2013,31293.2838499495,17470.6068650208,11949.9002647078,61023.0864213641
"64","b_t",2014,25661.2361124232,14122.8937634305,9869.86033349605,51275.2204321863
"65","b_t",2015,22326.0466782398,12108.8281796224,8576.58030046394,44642.4926887211
"66","b_t",2016,21372.8089940646,12364.1294482832,7658.00592065619,43465.761109389
"67","b_t",2017,19922.2170772563,11392.3782502532,7036.14111351366,41133.1591423522
"68","b_t",2018,18273.9270144302,10160.4038584218,6596.07078626674,36277.3095815902
"69","bmsy",1951,23885.1316796979,11128.1158726506,10429.5112718648,43559.3846989274
"70","ck",1951,0.00509024089307771,0.00231170381791533,0.00229571737434828,0.00958817719204708
"71","ck",1952,0.00763536133961657,0.00346755572687299,0.00344357606152242,0.0143822657880706
"72","ck",1953,0.00763536133961657,0.00346755572687299,0.00344357606152242,0.0143822657880706
"73","ck",1954,0.00763536133961657,0.00346755572687299,0.00344357606152242,0.0143822657880706
"74","ck",1955,0.00763536133961657,0.00346755572687299,0.00344357606152242,0.0143822657880706
"75","ck",1956,0.00509024089307771,0.00231170381791533,0.00229571737434828,0.00958817719204708
"76","ck",1957,0.00509024089307771,0.00231170381791533,0.00229571737434828,0.00958817719204708
"77","ck",1958,0.00763536133961657,0.00346755572687299,0.00344357606152242,0.0143822657880706
"78","ck",1959,0.00763536133961657,0.00346755572687299,0.00344357606152242,0.0143822657880706
"79","ck",1960,0.0127256022326943,0.00577925954478831,0.00573929343587071,0.0239704429801177
"80","ck",1961,0.0127256022326943,0.00577925954478831,0.00573929343587071,0.0239704429801177
"81","ck",1962,0.0229060840188497,0.010402667180619,0.0103307281845673,0.0431467973642119
"82","ck",1963,0.0229060840188497,0.010402667180619,0.0103307281845673,0.0431467973642119
"83","ck",1964,0.0330865658050051,0.0150260748164496,0.0149221629332638,0.062323151748306
"84","ck",1965,0.0279963249119274,0.0127143709985343,0.0126264455589156,0.052734974556259
"85","ck",1966,0.0127256022326943,0.00577925954478831,0.00573929343587071,0.0239704429801177
"86","ck",1967,0.017815843125772,0.00809096336270364,0.00803501081021899,0.0335586201721648
"87","ck",1968,0.0127256022326943,0.00577925954478831,0.00573929343587071,0.0239704429801177
"88","ck",1969,0.00763536133961657,0.00346755572687299,0.00344357606152242,0.0143822657880706
"89","ck",1970,0.00254512044653886,0.00115585190895766,0.00114785868717414,0.00479408859602354
"90","ck",1971,0.00254512044653886,0.00115585190895766,0.00114785868717414,0.00479408859602354
"91","ck",1972,0.00384313187427367,0.00174533638252607,0.00173326661763295,0.00723907377999555
"92","ck",1973,0.00183248672150798,0.000832213374449517,0.000826458254765382,0.00345174378913695
"93","ck",1974,0.00269782767333119,0.00122520302349512,0.00121673020840459,0.00508173391178496
"94","ck",1975,0.00323230296710435,0.00146793192437623,0.00145778053271116,0.0060884925169499
"95","ck",1976,0.00402129030553139,0.00182624601615311,0.00181361672573514,0.0075746599817172
"96","ck",1977,0.00598103304936631,0.00271625198605051,0.00269746791485923,0.0112661082006553
"97","ck",1978,0.0100532257638285,0.00456561504038277,0.00453404181433786,0.018936649954293
"98","ck",1979,0.00811893422445895,0.00368716758957494,0.00366166921208551,0.0152931426213151
"99","ck",1980,0.00814438542892434,0.00369872610866452,0.00367314779895725,0.0153410835072753
"100","ck",1981,0.0111730787603056,0.00507418988032414,0.00503909963669448,0.0210460489365434
"101","ck",1982,0.00715178845477418,0.00324794386417103,0.00322548291095934,0.0134713889548262
"102","ck",1983,0.0115548468272864,0.00524756766666779,0.0052112784397706,0.0217651622259469
"103","ck",1984,0.0109694691245825,0.00498172172760753,0.00494727094172055,0.0206625218488615
"104","ck",1985,0.0265710574618656,0.012067093929518,0.011983644694098,0.0500502849424858
"105","ck",1986,0.0328575049648166,0.0149220481446434,0.0148188556514182,0.0618916837746639
"106","ck",1987,0.0188338913043875,0.0085533041262867,0.00849415428508865,0.0354762556105742
"107","ck",1988,0.0211499509107379,0.00960512936343818,0.00953870569041712,0.0398388762329556
"108","ck",1989,0.0180958063748913,0.00821810707268898,0.00816127526580815,0.0340859699177274
"109","ck",1990,0.00870431192716288,0.00395301352863521,0.00392567671013556,0.0163957829984005
"110","ck",1991,0.0264438014395387,0.0120093013340701,0.0119262517597393,0.0498105805126846
"111","ck",1992,0.026265643008281,0.0119283917004431,0.0118459016516371,0.049474994310963
"112","ck",1993,0.0240513882197922,0.0109228005396499,0.0108472645937956,0.0453041372324225
"113","ck",1994,0.0234660105170882,0.0106569546005897,0.0105832570957456,0.0442014968553371
"114","ck",1995,0.023186047267969,0.0105298108906043,0.0104569926401564,0.0436741471097745
"115","ck",1996,0.0267492158931234,0.012148003563145,0.0120639948022002,0.0503858711442074
"116","ck",1997,0.016899599765018,0.00767485667547888,0.0076217816828363,0.0318327482775963
"117","ck",1998,0.0204627683901724,0.00929304934801961,0.0092287838448801,0.0385444723120293
"118","ck",1999,0.024433156286773,0.0110961783259936,0.0110194433968718,0.046023250521826
"119","ck",2000,0.0238477785840691,0.0108303323869333,0.0107554358988217,0.0449206101447406
"120","ck",2001,0.0321448712397857,0.0145984096101353,0.0144974552190094,0.0605493389677773
"121","ck",2002,0.0418417801410988,0.019002205383264,0.0188707968171429,0.078814816518627
"122","ck",2003,0.0406455735312255,0.0184589549860539,0.018331303234171,0.076561594878496
"123","ck",2004,0.0644933521152946,0.0292892873729872,0.0290867391329927,0.121482205023237
"124","ck",2005,0.0320685176263896,0.0145637340528666,0.0144630194583942,0.0604055163098966
"125","ck",2006,0.0478991668038613,0.0217531329265832,0.0216027004926173,0.0902247473771631
"126","ck",2007,0.039042147649906,0.0177307682834105,0.0176081522612513,0.0735413190630012
"127","ck",2008,0.0268764719154503,0.0122057961585929,0.0121213877365589,0.0506255755740086
"128","ck",2009,0.0274363984136889,0.0124600835785636,0.0123739166477372,0.0516802750651338
"129","ck",2010,0.0260874845770233,0.011847482066816,0.011765551543535,0.0491394081092413
"130","ck",2011,0.0189865985311799,0.00862265524082417,0.00856302580631909,0.0357639009263356
"131","ck",2012,0.0634498527322137,0.0288153880903145,0.0286161170712513,0.119516628698867
"132","ck",2013,0.0166705389248295,0.00757083000367269,0.00751847440099063,0.0314012803039542
"133","ck",2014,0.0162378684489179,0.00737433517914989,0.00732333842417102,0.0305862852426302
"134","ck",2015,0.0144817353408061,0.0065767973619691,0.00653131593002087,0.027278364111374
"135","ck",2016,0.019521073824953,0.00886538414170527,0.00880407613062567,0.0367706595315006
"136","ck",2017,0.0197246834606761,0.00895785229442189,0.0088959048255996,0.0371541866191825
"137","ck",2018,0.0261129357814887,0.0118590405859056,0.0117770301304067,0.0491873489952015
"138","crashed",1951,0,0,0,0
"139","delta",1951,100,0,100,100
"140","dep_t",1951,0.729834772352848,0.0730690650096707,0.616927852292465,0.849605919059835
"141","dep_t",1952,0.841510224477168,0.188755496515827,0.571802245621056,1.17244183129912
"142","dep_t",1953,0.765157116887533,0.190474787434675,0.501492835375402,1.10450508809762
"143","dep_t",1954,0.672337774369742,0.177882577063916,0.429132523183828,0.984676116995147
"144","dep_t",1955,0.558275590110089,0.143529722812163,0.360253681302686,0.815482781850025
"145","dep_t",1956,0.491454746515365,0.127463868793128,0.316274208548534,0.717826130034565
"146","dep_t",1957,0.511441381369148,0.13537281206073,0.326722882119967,0.733473514175279
"147","dep_t",1958,0.657231664085639,0.172353511374755,0.419403169873929,0.969753830859326
"148","dep_t",1959,0.770003038558807,0.196629132792187,0.49428484486039,1.1131439056165
"149","dep_t",1960,0.979172289496867,0.249609044246866,0.621586617985712,1.4263413209619
"150","dep_t",1961,1.06687554846292,0.266987149649312,0.687875975369475,1.51027835374576
"151","dep_t",1962,1.83062213705904,0.479843408442325,1.15378943786428,2.64601803859503
"152","dep_t",1963,2.20374115932501,0.577857985036726,1.41878569830126,3.22411115353719
"153","dep_t",1964,2.50834453338633,0.688504601427702,1.56693701408352,3.7602623482701
"154","dep_t",1965,1.93150992320327,0.524288952959093,1.20162939913652,2.86224321373053
"155","dep_t",1966,1.22665543954571,0.321808006466154,0.770719031342289,1.79240205337311
"156","dep_t",1967,1.10364063995029,0.29532750908729,0.694099006788251,1.63690055041253
"157","dep_t",1968,0.804119375074554,0.215470939965571,0.511686522022855,1.18036732189968
"158","dep_t",1969,0.541279127839113,0.142571921415713,0.342490997158699,0.795035919230719
"159","dep_t",1970,0.317987845532495,0.0867520491532939,0.19574686717036,0.470936608205687
