"","variable","year","mean","sd","lower","upper"
"1","b_t",2004,20818.3136518725,27775.2003263966,4699.57670979911,62782.7220286196
"2","b_t",2005,16372.4837730326,22093.0734375102,3146.92977123595,49175.4977125972
"3","b_t",2006,22027.7235881027,29704.7733353193,4131.49960192951,69097.90668891
"4","b_t",2007,25031.2353386477,34366.2458909731,4836.69464557697,75407.7224067713
"5","b_t",2008,28392.3570516183,39248.064408082,5288.68403110252,88949.2162537873
"6","b_t",2009,27052.3127601035,38299.8465106088,4938.15718445618,83161.775442151
"7","b_t",2010,27767.4546808036,38943.1241253127,5286.46068046077,84127.4944313219
"8","b_t",2011,25995.0825395093,36640.1587701644,4650.57486032028,78719.3989124263
"9","b_t",2012,25922.6136917561,36247.5559315695,4401.06387258186,83128.1482243734
"10","b_t",2013,21543.8490335444,31212.6669918626,3581.73323647387,68468.7175044846
"11","b_t",2014,19786.9399683964,28570.4934477633,3286.49191575193,63473.0597381446
"12","b_t",2015,17121.9705003432,23656.5729288237,2852.48897518459,53062.0542299168
"13","b_t",2016,21544.9294257789,31842.4936442644,2926.62746869937,73203.7354887176
"14","b_t",2017,21239.6892874176,37664.1384810299,2813.56022903155,68784.5375451916
"15","b_t",2018,14416.6357355448,20340.4571700129,2796.81849414563,42147.5047526873
"16","bmsy",2004,13856.7990409681,17541.5124400253,3418.74928368564,41565.6117829555
"17","ck",2004,0.0811694384001281,0.0519801229929047,0.0141102327417007,0.171554002800663
"18","ck",2005,0.0408961109074814,0.026189473732998,0.00710924769850392,0.0864351369609477
"19","ck",2006,0.0823458070725937,0.0527334581087439,0.014314728868392,0.174040292696325
"20","ck",2007,0.123449512451687,0.0790558733327724,0.021460064118665,0.260914186697683
"21","ck",2008,0.140610655438244,0.090045703257956,0.0244433017315736,0.297184768704984
"22","ck",2009,0.119712811962678,0.0766629264942243,0.020810488186822,0.253016559970287
"23","ck",2010,0.152581936634512,0.0977119959073784,0.0265243505502558,0.322486424702013
"24","ck",2011,0.11992040643429,0.0767958679852548,0.020846575738591,0.253455317010698
"25","ck",2012,0.115699318844854,0.0740927243343024,0.0201127955192869,0.244533923855676
"26","ck",2013,0.0873280743912717,0.0559240538934746,0.0151808301108493,0.184570461666186
"27","ck",2014,0.0786091065835853,0.0503405112701959,0.013665152936549,0.166142665968928
"28","ck",2015,0.0603407930817662,0.0386416600595166,0.0104894483808721,0.127532046412769
"29","ck",2016,0.0703745258763259,0.0450671654593215,0.0122336800497098,0.148738636699296
"30","ck",2017,0.0595104151953198,0.0381098940953948,0.0103450981737959,0.125777018251125
"31","ck",2018,0.0662918346012981,0.042452649469056,0.0115239581982517,0.140109748237881
"32","crashed",2004,0,0,0,0
"33","delta",2004,100,0,100,100
"34","dep_t",2004,0.740536977659981,0.075128405759535,0.628707784862549,0.870829390095581
"35","dep_t",2005,0.565505594955324,0.121472810415514,0.390552046958568,0.776562756269269
"36","dep_t",2006,0.757884006664092,0.173429671292904,0.506767350920516,1.05662869439588
"37","dep_t",2007,0.863731834660867,0.177661802090841,0.603419294633693,1.17734172103493
"38","dep_t",2008,0.966561375611805,0.196835545812081,0.661927474305264,1.28974310394734
"39","dep_t",2009,0.91607517258985,0.191249317887162,0.631690601203242,1.23923307455796
"40","dep_t",2010,0.950831676773583,0.191046012417251,0.663007801455412,1.26898627620744
"41","dep_t",2011,0.874121910619938,0.193033912883071,0.603151588712799,1.20869094081857
"42","dep_t",2012,0.871249119146431,0.207661074582714,0.572713470468961,1.22296770497257
"43","dep_t",2013,0.720599438442301,0.178608766506173,0.462895143810549,1.03378457887747
"44","dep_t",2014,0.66121593906312,0.183223128830391,0.411979639443343,0.988257763105799
"45","dep_t",2015,0.577183849116903,0.152256974138925,0.357372822237458,0.833221584977065
"46","dep_t",2016,0.711237305118146,0.302296718944843,0.344645998173652,1.27342880992059
"47","dep_t",2017,0.686150345609729,0.341755097618872,0.29660121646027,1.43924027426099
"48","dep_t",2018,0.503301635124188,0.130865267727886,0.313141632448133,0.722813354473219
"49","growth_t",2004,0.183021959425824,0.0525630340028129,0.103642848691421,0.271080650802704
"50","growth_t",2005,0.227268796916507,0.0595350400760986,0.146756685071475,0.319931636037243
"51","growth_t",2006,0.148728968543377,0.119548917657901,-0.0609614788705837,0.283386070978215
"52","growth_t",2007,0.0840136040742383,0.150493773158575,-0.196124769620063,0.254476528041449
"53","growth_t",2008,-0.00352245276759801,0.196202385051364,-0.350201802468925,0.227364145261305
"54","growth_t",2009,0.0429536227179192,0.175792652140445,-0.276180952617665,0.252612725729683
