"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,72562.0557442678,89596.334379133,22822.7629147065,195168.379344923
"2","b_t",1952,66990.5179395959,91127.6688055242,17534.2546088353,184255.589742566
"3","b_t",1953,50325.3378715161,69228.3223867373,12943.1316436078,144556.047817579
"4","b_t",1954,42639.7279951511,58584.2950625772,10791.5666667184,114476.910091335
"5","b_t",1955,38002.0784361336,58449.0004728426,9317.56913755451,109047.580747584
"6","b_t",1956,40469.0876714334,59866.3853237649,10154.4009791424,115447.077740203
"7","b_t",1957,45738.8062739848,65090.751593003,11716.5513600444,129669.477154788
"8","b_t",1958,50282.1183782003,69491.6275522153,12812.0831097944,146731.984877335
"9","b_t",1959,51539.0695944591,70041.2705875683,13309.9318612727,149647.982104197
"10","b_t",1960,53031.5008706115,73284.5457857332,13508.1492942706,149570.730420304
"11","b_t",1961,57645.7280205913,77550.8288829515,14765.6193733892,165694.712884768
"12","b_t",1962,77417.4830942654,109662.034754109,19595.0170752752,219430.042813963
"13","b_t",1963,83586.7126917778,116450.590349381,21179.9610568882,236522.246566215
"14","b_t",1964,78173.0512425397,106487.414071271,20258.6213245727,227637.410447958
"15","b_t",1965,62170.8980645586,85269.8555468195,16327.1382353203,173848.45247733
"16","b_t",1966,72607.2821888911,101512.7661026,19238.8977957919,204295.101447589
"17","b_t",1967,98617.8373934878,138337.234482166,25969.3950559198,272007.350365149
"18","b_t",1968,114183.877026941,163492.464806355,30129.5212037934,316194.013804384
"19","b_t",1969,129015.803062686,173112.695726938,33455.3616549291,352346.302243072
"20","b_t",1970,149484.868495179,196759.025876061,39691.5802597292,405252.096196957
"21","b_t",1971,151895.231129862,203474.736146146,40799.6496458025,415187.079827644
"22","b_t",1972,164149.239370215,217821.754041266,43198.2485836994,459196.163346596
"23","b_t",1973,165611.942899827,216883.252028436,43799.6818620821,456659.408265488
"24","b_t",1974,127963.901908532,164876.971218138,32323.8879299388,369731.973821048
"25","b_t",1975,82419.483916978,108097.188271609,21479.4903967039,239336.185670125
"26","b_t",1976,74430.2870710036,100410.204113309,19351.8913531118,216858.335094989
"27","b_t",1977,79642.4967717029,107135.620304458,20835.174819477,228317.270796503
"28","b_t",1978,83861.8689897886,112744.594236125,21475.0150372831,224404.275695571
"29","b_t",1979,84403.9739991217,115726.654350939,22025.8139576739,239441.268625378
"30","b_t",1980,92540.2484477722,124400.587211659,23850.2934917065,263358.279899324
"31","b_t",1981,91626.1549920455,132210.085155626,23151.0762409567,259924.570958023
"32","b_t",1982,77813.2579819451,109167.047174535,19619.3447739974,222415.149378087
"33","b_t",1983,82811.8309316344,110738.333786721,21876.018435264,240388.522341729
"34","b_t",1984,89657.0199658986,120448.063458306,24329.1116995503,253940.23886088
"35","b_t",1985,92809.5682867009,127476.975312743,24260.8524166967,265136.472173556
"36","b_t",1986,90592.7617864299,121491.185610224,23862.9234961952,256846.925073975
"37","b_t",1987,88824.2541503383,124492.619149826,22822.0186025784,258941.838621552
"38","b_t",1988,89155.5568646656,121899.234026378,23317.2315557973,259483.722483349
"39","b_t",1989,85677.4783354486,117618.071657495,22183.1418651429,246017.311396117
"40","b_t",1990,75104.9786772103,102981.376480129,19694.3829865217,209464.793590328
"41","b_t",1991,72206.3645031983,97884.1790759568,19251.7341753868,199334.467270592
"42","b_t",1992,78050.4091085748,108531.905270344,21185.5154807677,217495.797443059
"43","b_t",1993,83335.2842285312,106137.422346136,22387.9696658006,230991.07506118
"44","b_t",1994,98416.2497963346,127465.220525223,25840.1531479587,271302.552223067
"45","b_t",1995,109240.754455414,151216.567031255,28914.7783579881,292629.895123884
"46","b_t",1996,108116.662700781,143326.314726241,28962.2665099908,299424.900285852
"47","b_t",1997,113147.106043898,156767.229798417,29991.2997004047,327326.735380875
"48","b_t",1998,99723.808669793,131228.652799492,26747.7756723475,289400.243278586
"49","b_t",1999,105059.104709194,142068.815166856,27620.3499218304,312835.526917447
"50","b_t",2000,100139.901923885,129369.098726628,26203.6544236374,294020.010142282
"51","b_t",2001,88225.4508019626,120602.650180207,22840.2637680016,243977.777127529
"52","b_t",2002,76804.4521067633,109161.37084923,19596.9001286759,212389.078133084
"53","b_t",2003,46521.7633310879,70401.9163431864,11746.8172897506,130184.247078533
"54","b_t",2004,43699.7191685706,60100.729690473,11456.8740675433,126391.892715915
"55","b_t",2005,50853.4010423861,68234.9239164671,13674.6933449943,141960.132667273
"56","b_t",2006,48455.8186825284,66076.4441783505,12973.2700484289,135415.379498565
"57","b_t",2007,36530.7275765028,48512.1395245959,9681.41444995135,106191.028603907
"58","b_t",2008,34570.3977113684,46246.7917281656,9120.76737735818,97827.7323189461
"59","b_t",2009,32836.8590298333,43253.6634259685,8616.06296774796,91365.3470549664
"60","b_t",2010,30451.8109368676,41773.7763907124,8159.50348950422,82152.9918958168
"61","b_t",2011,25880.2769465602,35889.4717472266,6713.66404649485,74641.0835224653
