"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,264495.068063356,243569.441599011,61367.6546146109,674081.395369156
"2","b_t",1952,126.071497255723,271.682291498602,6.84011577887398,404.21630266591
"3","b_t",1953,3.84086087232726,9.35415660979821,0.147072992207539,14.0437273203913
"4","b_t",1954,0.769355496306048,2.02148258960064,0.0663430235214761,2.89815999569605
"5","b_t",1955,0.331364871798418,0.907221689091817,0.0551620668861632,0.870718071604109
"6","b_t",1956,0.328559418833049,1.30661800339772,0.053573803068654,0.759916947355457
"7","b_t",1957,0.272162941093299,0.640018047412256,0.0542481592624964,0.700674708156498
"8","b_t",1958,0.27828490812576,0.404481180906066,0.0538952853414751,0.756549898144228
"9","b_t",1959,0.311256456398388,0.624254073256021,0.0525486328124901,0.879985094619754
"10","b_t",1960,0.266821871660962,0.379078459985943,0.0519579371774032,0.771871554944803
"11","b_t",1961,0.281657679047027,0.637278892698319,0.05073319561431,0.688931926700884
"12","b_t",1962,0.3096074233453,0.822523324301568,0.0515443666018194,0.801493423422223
"13","b_t",1963,0.307790890952942,0.579179730376636,0.0511303620188917,0.910742537038983
"14","b_t",1964,0.308356867899872,0.579268087245153,0.0500263825771993,0.924460608440792
"15","b_t",1965,0.335651581827784,1.15321984651432,0.0530728821198275,0.770121953668358
"16","b_t",1966,0.288562061081033,0.456247393990876,0.0543207707446354,0.844865464157276
"17","b_t",1967,0.437984492702601,1.52180507986136,0.0593868758170291,1.07406019636744
"18","b_t",1968,1.22002878197681,5.3836029135405,0.0796819709577563,3.73446903597949
"19","b_t",1969,12.6370205767786,34.7829110518091,0.568403271390548,40.3210518079913
"20","b_t",1970,2170.12802633645,4285.07582626025,225.67802164834,8135.29198780347
"21","b_t",1971,18717.5445967618,51686.000402521,856.195485768379,66784.7065037734
"22","b_t",1972,35984.3840403676,75099.4835209811,1699.85373530712,119210.334481867
"23","b_t",1973,58089.341071682,115845.941037068,2324.35591006082,200312.390193918
"24","b_t",1974,75631.4977787737,155466.229577469,3911.48949707707,277813.883414109
"25","b_t",1975,83158.372446597,190713.296565429,3802.58036040647,295506.960972329
"26","b_t",1976,70605.3744059788,103252.033164856,4659.04852910619,259545.326694356
"27","b_t",1977,78790.2528967199,155304.62294542,4644.72133084766,277966.177063169
"28","b_t",1978,90777.3802273746,160930.781987299,6383.17651133328,334888.591356891
"29","b_t",1979,120726.495912835,194666.245140649,7992.17914255851,387711.15051131
"30","b_t",1980,151573.048022258,261035.004317188,9896.52172444853,490727.922972258
"31","b_t",1981,183437.705996688,264985.181498252,10750.3652914257,663777.52256522
"32","b_t",1982,193719.253621967,288516.454504416,14084.8010140235,706073.438442818
"33","b_t",1983,176822.008282594,258402.345425615,13633.6218035377,621570.818793171
"34","b_t",1984,181667.71079998,300844.613431468,13122.5522568545,571455.449133325
"35","b_t",1985,185616.503052244,279487.569934371,13777.9942949915,601806.774698719
"36","b_t",1986,165494.392200377,244470.067178591,8516.80858620487,603998.300122618
"37","b_t",1987,125568.80018717,197927.6050747,7737.88991804172,449405.414480114
"38","b_t",1988,165617.591518658,270896.408252851,11731.6070355996,525587.906946228
"39","b_t",1989,219255.34994745,336261.014631797,20543.16023875,688647.389409139
"40","b_t",1990,235661.895919038,377838.261623834,21329.7644498383,676496.943302971
"41","b_t",1991,226283.192247986,305030.909203911,18337.2767720543,746205.217463845
"42","b_t",1992,179585.912609435,240471.085791947,11595.6307568592,586941.475906787
"43","b_t",1993,194132.662130863,339317.565089611,13487.1313254188,618875.391213962
"44","b_t",1994,228494.139681363,291640.223903341,20408.3786698401,732985.931231709
"45","b_t",1995,176442.106381674,261987.007654533,12870.6893133456,566984.146372517
"46","b_t",1996,176116.739125959,259161.656078224,12026.0864601241,572843.441680877
"47","b_t",1997,156112.447632475,226984.694228838,13342.5890432063,512949.606830097
"48","b_t",1998,183183.57285717,294643.467009144,14569.9590556048,627007.667198255
"49","b_t",1999,152618.101777309,244106.612568821,10160.4541170776,524541.744576301
"50","b_t",2000,164770.88384663,246549.325480202,11928.1721638298,606513.926151982
"51","b_t",2001,169158.418020455,285832.202014843,11167.3758708553,563898.882394904
"52","b_t",2002,187172.073428355,261076.949607571,11582.8510583178,646488.052086284
"53","b_t",2003,174141.222302976,246792.207891028,9820.00787262093,567938.393437387
"54","b_t",2004,153258.86666821,227485.119710104,11599.4148514072,528820.005247896
"55","b_t",2005,153031.354055134,238209.504243253,10089.3308534616,515779.570425855
"56","b_t",2006,147121.473223626,248763.619148104,8228.77895579201,484116.911601995
"57","b_t",2007,137495.1016952,241970.866066446,9228.11482406954,481883.412524092
"58","b_t",2008,158585.44538611,255650.081972953,12210.5771550833,552343.904135959
"59","b_t",2009,155524.628273218,280190.78811464,9235.3541243145,452546.32377189
"60","b_t",2010,93111.8616374955,188570.781989205,6369.93847625277,320836.390847928
"61","b_t",2011,150787.939489518,236139.633990358,11032.1442028542,522989.572619149
"62","b_t",2012,176819.565131206,268050.45784929,11673.9926869308,612248.232319442
"63","b_t",2013,165269.817636568,269877.258533477,12086.7627058471,586785.25494423
"64","b_t",2014,151082.752895167,199355.222396832,12275.1881862314,515710.313995625
"65","b_t",2015,149373.191825953,234890.932436041,9980.22080275245,520530.078444655
"66","b_t",2016,145842.014143052,228522.505181657,10709.727246505,475778.503785628
"67","b_t",2017,152986.686296846,258585.021325058,10194.0630624915,520964.923228059
"68","b_t",2018,156230.268940885,310588.314657863,8531.98423288886,527002.065909764
"69","b_t",2019,125613.687639776,303466.033599281,3834.52332284574,425864.985554591
"70","bmsy",1951,186381.405099149,174729.242199739,45699.3607392355,483223.029567527
"71","ck",1951,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"72","ck",1952,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"73","ck",1953,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"74","ck",1954,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"75","ck",1955,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"76","ck",1956,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"77","ck",1957,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"78","ck",1958,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"79","ck",1959,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"80","ck",1960,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"81","ck",1961,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"82","ck",1962,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"83","ck",1963,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"84","ck",1964,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"85","ck",1965,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"86","ck",1966,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"87","ck",1967,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"88","ck",1968,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"89","ck",1969,4.55653938003672e-09,3.32861820067762e-09,1.03472301493061e-09,1.09410776419443e-08
"90","ck",1970,0.000455653938003672,0.000332861820067762,0.000103472301493061,0.00109410776419443
"91","ck",1971,0.000455653938003672,0.000332861820067762,0.000103472301493061,0.00109410776419443
"92","ck",1972,0.000455653938003672,0.000332861820067762,0.000103472301493061,0.00109410776419443
"93","ck",1973,0.000455653938003672,0.000332861820067762,0.000103472301493061,0.00109410776419443
"94","ck",1974,0.000710820143285729,0.000519264439305708,0.000161416790329175,0.00170680811214331
"95","ck",1975,0.00115280446314929,0.000842140404771437,0.000261784922777443,0.00276809264341191
"96","ck",1976,0.000760942076466133,0.000555879239513162,0.000172798743493411,0.0018271599662047
"97","ck",1977,0.000606019737544884,0.000442706220690123,0.000137618160985771,0.00145516332637859
"98","ck",1978,0.00133050949897072,0.000971956514597864,0.000302139120359737,0.00319479467144774
"99","ck",1979,0.00187729422457513,0.00137139069867918,0.00042630588215141,0.00450772398848105
"100","ck",1980,0.00321691680230593,0.0023500044496784,0.000730514448541008,0.00772440081521268
"101","ck",1981,0.00588249233962741,0.0042972460970748,0.00133582741227541,0.0141249312357501
"102","ck",1982,0.00532659453526293,0.00389115467659213,0.00120959120445388,0.0127901197634329
"103","ck",1983,0.00565010883124554,0.00412748656884024,0.00128305653851395,0.0135669362760109
"104","ck",1984,0.00685303522757523,0.00500624177381913,0.00155622341445563,0.0164553807734842
"105","ck",1985,0.00819265780530603,0.00598485552481835,0.00186043198084523,0.0196720576002159
"106","ck",1986,0.00721300183859813,0.00526920261167267,0.00163796653263515,0.0173197259071978
"107","ck",1987,0.00262912322228119,0.00192061270179098,0.00059703517961496,0.00631300179940186
"108","ck",1988,0.0077916823398628,0.00569193712315872,0.00176937635553134,0.0187092427677248
"109","ck",1989,0.025439159358745,0.0185836754143831,0.00577685859235758,0.061084036474975
"110","ck",1990,0.023329481625788,0.0170425251874694,0.0052977818364447,0.0560183175267548
"111","ck",1991,0.0195931193341579,0.0143130582629137,0.00444930896420161,0.0470466338603605
"112","ck",1992,0.012029263963297,0.00878755204978891,0.0027316687594168,0.028884444974733
"113","ck",1993,0.0118470023880955,0.0086544073217618,0.00269027983881958,0.0284468018690552
"114","ck",1994,0.0213246042985719,0.0155779331791712,0.00484250370987524,0.0512042433642993
"115","ck",1995,0.0100699520298812,0.00735624622349753,0.00228673786299664,0.0241797815886969
"116","ck",1996,0.00860730288888937,0.00628775978108002,0.00195459177520392,0.0206676956656328
"117","ck",1997,0.00726312377177854,0.00530581741188012,0.00164934848579939,0.0174400777612592
"118","ck",1998,0.0122251951566385,0.00893068263241804,0.00277616184905882,0.0293549113133366
"119","ck",1999,0.00572757000070616,0.00418407307825176,0.00130064682976777,0.013752934595924
"120","ck",2000,0.00810152701770529,0.0059182831608048,0.00183973752054662,0.019453236047377
"121","ck",2001,0.00654774708911277,0.00478322435437373,0.00148689697245528,0.015722328571474
"122","ck",2002,0.0122343082353986,0.0089373398688194,0.00277823129508868,0.0293767934686204
"123","ck",2003,0.00753651613458074,0.00550553450392078,0.00171143186669522,0.0180965424197759
"124","ck",2004,0.00549974303170433,0.00401764216821788,0.00124891067902124,0.0132058807138268
"125","ck",2005,0.00671178250679409,0.00490305460959813,0.00152414700099278,0.016116207366584
"126","ck",2006,0.00453831322251658,0.00331530372787491,0.00103058412287088,0.0108973133313765
"127","ck",2007,0.00605108429668877,0.00442040497049987,0.00137411216382785,0.014529751108502
"128","ck",2008,0.00744538534698001,0.00543896213990722,0.00169073740639661,0.017877720866937
"129","ck",2009,0.0103797967077237,0.00758259226114361,0.00235709902801192,0.0249237748683491
"130","ck",2010,0.0011664740812894,0.00085212625937347,0.000264889091822235,0.00280091587633774
"131","ck",2011,0.00852072864066867,0.00622451603526714,0.00193493203792023,0.0204598151904358
"132","ck",2012,0.00996515162414032,0.00727968800488195,0.00226293923365324,0.0239281368029322
"133","ck",2013,0.0101064043449215,0.00738287516910295,0.00229501564711609,0.0242673102098325
"134","ck",2014,0.00839314553802765,0.00613131472564817,0.00190595979350218,0.0201534650164614
"135","ck",2015,0.00659331248291314,0.00481651053638051,0.00149724420260459,0.0158317393478934
"136","ck",2016,0.00744538534698001,0.00543896213990722,0.00169073740639661,0.017877720866937
"137","ck",2017,0.00799672661196445,0.00584172494218922,0.00181593889120321,0.0192015912616122
"138","ck",2018,0.0077051080916421,0.00562869337734585,0.00174971661824766,0.0185013622925278
"139","ck",2019,0.0077916823398628,0.00569193712315872,0.00176937635553134,0.0187092427677248
"140","crashed",1951,0,0,0,0
"141","delta",1951,100,0,100,100
"142","dep_t",1951,0.714090607676397,0.076426968888506,0.593100292619565,0.845474510033658
"143","dep_t",1952,0.000345934790696711,0.000676656689305112,2.94601128833421e-05,0.000949799375430897
"144","dep_t",1953,1.04155227722742e-05,1.97018042542476e-05,6.60255863237581e-07,3.45321352379058e-05
"145","dep_t",1954,2.06421629714436e-06,4.19212314547227e-06,5.07167347138464e-07,7.31898783823665e-06
"146","dep_t",1955,8.84830575723556e-07,1.29002245681027e-06,5.02989740618206e-07,2.35489025669515e-06
"147","dep_t",1956,7.71874692735552e-07,7.86161912067954e-07,5.01833777492106e-07,1.67268160793484e-06
"148","dep_t",1957,7.02075618126982e-07,5.47389856612967e-07,5.01670778511537e-07,1.48340435395257e-06
"149","dep_t",1958,7.72922224612967e-07,1.01420654485664e-06,5.02157636280452e-07,1.58163774167041e-06
