"","variable","year","mean","sd","lower","upper"
"1","b_t",1992,120324.626265519,110117.581484027,28418.4033290877,335688.789751075
"2","b_t",1993,26701.850437699,37534.7711792054,3859.14500840673,78082.2165743787
"3","b_t",1994,32622.1079640471,45621.5344404562,4342.13075965568,96443.7931757624
"4","b_t",1995,50586.528696372,60090.0492430141,7167.71413619058,162659.180727701
"5","b_t",1996,73323.7261483348,93995.9163288552,9516.20547915144,232473.484152962
"6","b_t",1997,134061.073400829,161707.596532281,18505.3464984825,418692.556144831
"7","b_t",1998,161454.257460749,198097.017338675,23753.4818430577,469211.315227786
"8","b_t",1999,186400.200343536,224167.583413231,25623.440618752,571178.862989818
"9","b_t",2000,187433.158606442,215737.082276697,28327.823849156,535619.896710946
"10","b_t",2001,143953.787426785,167441.182915948,20159.165305686,429438.595370523
"11","b_t",2002,142010.135872174,158607.952000658,19693.9760513145,440030.061074765
"12","b_t",2003,141020.497274368,170938.210666858,20707.0425028284,419698.120935719
"13","b_t",2004,183311.406099417,207556.38656531,26759.4840343361,527206.813325936
"14","b_t",2005,200984.377782015,222797.482796049,34694.3272962426,594695.71881576
"15","b_t",2006,206844.612654724,239851.208272841,36447.5293574252,591062.29884002
"16","b_t",2007,188838.52816051,231519.641209328,27128.4896332044,585892.422677342
"17","b_t",2008,181149.384579437,206286.506563538,29939.8344365452,557722.178912431
"18","b_t",2009,201250.571074699,231804.074742334,28812.8019214297,610031.09839734
"19","b_t",2010,153570.627683562,185594.216280351,20133.3943456058,451287.754255988
"20","b_t",2011,147963.385607344,181272.692319313,17829.4288981001,437609.251402983
"21","b_t",2012,85689.97756669,112985.948429713,9844.81661916403,259518.607435354
"22","b_t",2013,55843.10547865,76710.7286281156,6787.18306711788,171888.511191953
"23","b_t",2014,45643.0840631198,63360.3332105898,5487.00038306593,144458.087712666
"24","b_t",2015,33404.9515703984,49812.1459533997,4026.69927283776,102028.341567588
"25","b_t",2016,54190.662705123,77648.0852647712,5170.37433892465,178636.728438558
"26","b_t",2017,69727.9090763374,99933.0443311591,7185.80157601153,220486.917429191
"27","b_t",2018,60105.1371902733,57900.9883597812,12747.7958938454,167745.247120732
"28","bmsy",1992,87031.3367226208,80017.9102046471,20516.3040708813,236768.946780625
"29","ck",1992,0.000362955959008446,0.000261738412022507,7.60235248492702e-05,0.000877351097980484
"30","ck",1993,0.000735994027989349,0.000530747335490083,0.000154158814277687,0.00177907305979376
"31","ck",1994,0.00336742473080058,0.00242835082265326,0.000705329369434896,0.00813986852015227
"32","ck",1995,0.00781363522865405,0.00563464636992897,0.00163661754883846,0.0188874194704132
"33","ck",1996,0.0104753122613827,0.00755406139142735,0.0021941233977331,0.0253213275222701
"34","ck",1997,0.0274031749051377,0.0197612501076993,0.0057397761261199,0.0662400078975266
"35","ck",1998,0.0369106046091645,0.0266173424003999,0.00773117012425495,0.0892217324918487
"36","ck",1999,0.0521648369974917,0.0376176262167903,0.0109262699325034,0.126094849470862
"37","ck",2000,0.0545038865111017,0.0393043848720465,0.0114161993148654,0.131748889880069
"38","ck",2001,0.0244793630131252,0.0176528017886291,0.00512736439816745,0.0591724573860171
"39","ck",2002,0.0253060960308667,0.0182489837271248,0.00530052909365745,0.061170868220306
"40","ck",2003,0.0229267180773669,0.0165331430260884,0.0048021526529789,0.0554193443557673
"41","ck",2004,0.0476984622796933,0.0343967896466244,0.00999075822394159,0.115298556792935
"42","ck",2005,0.0689918785415222,0.0497521098186115,0.0144508050150988,0.16676982120779
"43","ck",2006,0.0749302413152992,0.0540344410597575,0.015694634352216,0.181124260005304
"44","ck",2007,0.0684575267129819,0.0493667727120228,0.014338881492404,0.165478165424652
"45","ck",2008,0.0506827668315405,0.0365488610343651,0.0106158405393689,0.122512332487442
"46","ck",2009,0.0677719432348549,0.0488723779337581,0.0141952815010221,0.163820946684023
"47","ck",2010,0.0368702761692747,0.0265882603546197,0.00772272306593837,0.0891242490365175
"48","ck",2011,0.041931495375448,0.0302380571000446,0.00878282888466986,0.101358422680579
"49","ck",2012,0.0129655934245795,0.00934987771835955,0.00271572924878226,0.0313409308889695
"50","ck",2013,0.0074506792696456,0.00537290795790646,0.00156059402398919,0.0180100683724327
"51","ck",2014,0.00823708384749724,0.00594000785062189,0.0017253116611626,0.0199109957513904
"52","ck",2015,0.00268184125267352,0.00193395604438852,0.000561729378052941,0.00648264977952247
"53","ck",2016,0.00972923612342085,0.0070160435444922,0.00203785281887627,0.0235178835986435
"54","ck",2017,0.0142661856110264,0.0102877736947735,0.00298814687949215,0.0344847723233996
"55","ck",2018,0.00480916645686191,0.00346803395929822,0.00100731170425283,0.0116249020482414
"56","crashed",1992,0,0,0,0
"57","delta",1992,100,0,100,100
"58","dep_t",1992,0.693869197279848,0.0688299991417278,0.590613618647419,0.807983223271554
"59","dep_t",1993,0.151332627561431,0.0980789522489398,0.0489362462202563,0.328771466674673
"60","dep_t",1994,0.185764922901978,0.125737804047019,0.0589691113448146,0.407208804234499
"61","dep_t",1995,0.300491981202596,0.213589571502984,0.0868378617039417,0.689559438289627
"62","dep_t",1996,0.421863093034399,0.273307971032202,0.130244196831702,0.9089416203219
"63","dep_t",1997,0.756894924321224,0.430263038952838,0.24563750650374,1.57190264303997
"64","dep_t",1998,0.922667986037549,0.494616321234258,0.304763239187423,1.81498443388755
"65","dep_t",1999,1.04707750534587,0.524841285885641,0.361565338475165,1.98404988231879
"66","dep_t",2000,1.07840655740761,0.538232192762157,0.37794379125005,2.06528292347952
"67","dep_t",2001,0.829179789461717,0.459775743638236,0.271760529094623,1.7254529198077
"68","dep_t",2002,0.819206018213792,0.467083927077554,0.234016747665403,1.70863547235001
"69","dep_t",2003,0.802918732238593,0.428782672548763,0.275996581730373,1.59840097561494
"70","dep_t",2004,1.0380728303223,0.498852480070947,0.377737568761315,1.98009842189149
"71","dep_t",2005,1.13970887865732,0.486110424084326,0.467679503514613,2.01006149219968
"72","dep_t",2006,1.18704968635364,0.518260199639211,0.472788499670157,2.08047209436366
"73","dep_t",2007,1.05022508202735,0.502426756200501,0.392422728539298,1.97318853719734
"74","dep_t",2008,1.0317192216735,0.490133066040637,0.390602114969326,1.95133653529135
"75","dep_t",2009,1.12442182118694,0.546428225060172,0.404517099569093,2.14632896289446
"76","dep_t",2010,0.870973738253153,0.487741007667371,0.282571986729814,1.80653178229432
"77","dep_t",2011,0.852063244978071,0.53721120332695,0.242644781196156,1.92947475722584
"78","dep_t",2012,0.489676546227531,0.358275035777184,0.136515517298468,1.15550184587872
"79","dep_t",2013,0.318479612483266,0.250737682416654,0.0834834839711882,0.76788188313325
"80","dep_t",2014,0.262365665763837,0.212351854343325,0.0734174383705478,0.637756692354643
"81","dep_t",2015,0.190444940896368,0.153563665951494,0.052781865383679,0.436957578274922
"82","dep_t",2016,0.318445308777753,0.294186358626986,0.0635388486786288,0.878894607455261
"83","dep_t",2017,0.410847779594643,0.377058082972053,0.0888109037693866,1.13850254286446
"84","dep_t",2018,0.34793529192831,0.0941348934817979,0.218253667187893,0.510824587110203
"85","growth_t",1992,0.125202406977165,0.0329779521766909,0.0782305917412872,0.181905209882091
"86","growth_t",1993,0.0708633102212446,0.0356875403801461,0.0251626892323453,0.139108617575728
"87","growth_t",1994,0.0805881891910886,0.0396731900510789,0.0298329906359894,0.145206678071477
"88","growth_t",1995,0.0986774259650619,0.0718099723017249,0.0411479030953671,0.167087643402232
"89","growth_t",1996,0.103022551407732,0.0975376093357206,0.0313111411905933,0.181597886994648
"90","growth_t",1997,0.00847363337233429,0.275168199774865,-0.510335190432615,0.183534440699447
"91","growth_t",1998,-0.0873508018438465,0.380343691802977,-0.890149355762496,0.178250128841796
"92","growth_t",1999,-0.167160314732371,0.446897800250551,-1.1396966648318,0.175896471491828
"93","growth_t",2000,-0.200554624375586,0.481089818672393,-1.18603517490168,0.175188835278428
"94","growth_t",2001,-0.0333147926891319,0.343002129972663,-0.728371050566897,0.17958281260685
"95","growth_t",2002,-0.0317520247035909,0.332973769819144,-0.693188048942868,0.179814454657665
"96","growth_t",2003,-0.00576947253672255,0.2824649309933,-0.560047606957397,0.179942996359173
"97","growth_t",2004,-0.147561230457232,0.417901796209833,-1.06799525597246,0.175492348554793
"98","growth_t",2005,-0.214164532682569,0.440007310484434,-1.10773613652764,0.16661454361014
"99","growth_t",2006,-0.258050192041668,0.486464935693725,-1.21903367914476,0.164217392777239
"100","growth_t",2007,-0.157805521180456,0.428576776596799,-1.08482458378108,0.177955515196174
"101","growth_t",2008,-0.145391975030317,0.415345259798026,-1.03826492558169,0.17018338684181
"102","growth_t",2009,-0.233466815434714,0.507262346584066,-1.38691288467358,0.171181431288514
"103","growth_t",2010,-0.0606164925901496,0.377622883751936,-0.833295677066314,0.180979862123249
"104","growth_t",2011,-0.0786377687568094,0.417900723025291,-1.04927672297176,0.180545886800533
"105","growth_t",2012,0.0736899840304559,0.199300174766142,-0.0948463218427094,0.176182539724374
"106","growth_t",2013,0.0936371914494532,0.112152756992235,0.0357725878256623,0.169697336621733
"107","growth_t",2014,0.0885221141094832,0.0731640405177141,0.0356688960702048,0.16291807166547
"108","growth_t",2015,0.0779297553015993,0.0458806556674088,0.0264738872987479,0.146058893583222
"109","growth_t",2016,0.0781454610413448,0.116262229449306,0.017193004100809,0.163279296772203
"110","growth_t",2017,0.0599273468286841,0.214094713334993,-0.0886497027614717,0.171191747167233
"111","growth_t",2018,0.131408479288012,0.0326851879566736,0.0833957045278094,0.18694778636827
"112","index_hat_t",1992,120324.626265519,110117.581484027,28418.4033290877,335688.789751075
"113","index_hat_t",1993,26701.850437699,37534.7711792054,3859.14500840673,78082.2165743787
"114","index_hat_t",1994,32622.1079640471,45621.5344404562,4342.13075965568,96443.7931757624
"115","index_hat_t",1995,50586.528696372,60090.0492430141,7167.71413619058,162659.180727701
"116","index_hat_t",1996,73323.7261483348,93995.9163288552,9516.20547915144,232473.484152962
"117","index_hat_t",1997,134061.073400829,161707.596532281,18505.3464984825,418692.556144831
"118","index_hat_t",1998,161454.257460749,198097.017338675,23753.4818430577,469211.315227786
"119","index_hat_t",1999,186400.200343536,224167.583413231,25623.440618752,571178.862989818
"120","index_hat_t",2000,187433.158606442,215737.082276697,28327.823849156,535619.896710946
"121","index_hat_t",2001,143953.787426785,167441.182915948,20159.165305686,429438.595370523
"122","index_hat_t",2002,142010.135872174,158607.952000658,19693.9760513145,440030.061074765
"123","index_hat_t",2003,141020.497274368,170938.210666858,20707.0425028284,419698.120935719
"124","index_hat_t",2004,183311.406099417,207556.38656531,26759.4840343361,527206.813325936
"125","index_hat_t",2005,200984.377782015,222797.482796049,34694.3272962426,594695.71881576
"126","index_hat_t",2006,206844.612654724,239851.208272841,36447.5293574252,591062.29884002
"127","index_hat_t",2007,188838.52816051,231519.641209328,27128.4896332044,585892.422677342
"128","index_hat_t",2008,181149.384579437,206286.506563538,29939.8344365452,557722.178912431
"129","index_hat_t",2009,201250.571074699,231804.074742334,28812.8019214297,610031.09839734
"130","index_hat_t",2010,153570.627683562,185594.216280351,20133.3943456058,451287.754255988
"131","index_hat_t",2011,147963.385607344,181272.692319313,17829.4288981001,437609.251402983
"132","index_hat_t",2012,85689.97756669,112985.948429713,9844.81661916403,259518.607435354
"133","index_hat_t",2013,55843.10547865,76710.7286281156,6787.18306711788,171888.511191953
"134","index_hat_t",2014,45643.0840631198,63360.3332105898,5487.00038306593,144458.087712666
"135","index_hat_t",2015,33404.9515703984,49812.1459533997,4026.69927283776,102028.341567588
"136","index_hat_t",2016,54190.662705123,77648.0852647712,5170.37433892465,178636.728438558
"137","index_hat_t",2017,69727.9090763374,99933.0443311591,7185.80157601153,220486.917429191
"138","index_hat_t",2018,60105.1371902733,57900.9883597812,12747.7958938454,167745.247120732
"139","k",1992,174062.673445242,160035.820409294,41032.6081417625,473537.893561251
"140","log_b",1992,11.3950170794748,0.758382427392506,10.2547919345256,12.7239392366753
"141","log_b",1993,9.70232692025295,0.945906560403384,8.2582008748131,11.2655175442512
"142","log_b",1994,9.89747713767785,0.96773427663605,8.37612034523639,11.476714687514
"143","log_b",1995,10.3578758014352,0.961264659424678,8.87734192853092,11.9994123648874
"144","log_b",1996,10.713115073483,0.978316918090561,9.16075102655109,12.3565313855433
"145","log_b",1997,11.3250650226486,0.97150631166064,9.82581492679445,12.9448921517414
"146","log_b",1998,11.5345237475663,0.945097423225731,10.0754840923801,13.0588069760944
"147","log_b",1999,11.6773653359782,0.945063351773696,10.1512624295346,13.2554568314614
"148","log_b",2000,11.7069535953834,0.920772171522527,10.2515993707509,13.191179481798
"149","log_b",2001,11.4256067214822,0.944977824121572,9.91141431671448,12.9702336594659
"150","log_b",2002,11.3966449620804,0.979301025310342,9.88806785871939,12.9945975464208
"151","log_b",2003,11.401834633145,0.934454523189448,9.93822903311391,12.9472898886563
"152","log_b",2004,11.6810761573713,0.93473941338003,10.1946442097386,13.1753458979998
"153","log_b",2005,11.7984016838315,0.890193597415873,10.4543314652741,13.2958047579239
"154","log_b",2006,11.8353538208819,0.877276246093383,10.5036289488229,13.2896767034216
"155","log_b",2007,11.6943855345602,0.935427753773702,10.2083397225193,13.2808914572892
"156","log_b",2008,11.6778772196038,0.905410465070382,10.3069449356636,13.2316161867006
"157","log_b",2009,11.7559405865013,0.947579798317767,10.2685729251514,13.3212640340389
"158","log_b",2010,11.4710624125158,0.964697647018404,9.91013450201177,13.0198604187645
"159","log_b",2011,11.4039870182387,1.00784189500688,9.78860455944081,12.9890816420154
"160","log_b",2012,10.8260761261307,1.02989691721178,9.19469986451532,12.4665836561541
"161","log_b",2013,10.3922339775175,1.02041569261367,8.82279125880864,12.0545997346985
"162","log_b",2014,10.191178721452,1.00725531529934,8.61013691985051,11.8807446250543
"163","log_b",2015,9.87678136756214,1.01117466749842,8.30070160162775,11.533005890958
"164","log_b",2016,10.2827638477617,1.10264249255344,8.55070020375907,12.0931031675877
"165","log_b",2017,10.552506999839,1.08082929318549,8.87986224084394,12.3035935312861
"166","log_b",2018,10.6743744552528,0.794887239547391,9.45311366377044,12.0301992337849
"167","log_b_div_bmsy",1992,0.322778838756278,0.0989944274246534,0.16655392869037,0.479933186912104
"168","log_b_div_bmsy",1993,-1.36991132046555,0.590484180113522,-2.32409028438018,-0.419245221102054
"169","log_b_div_bmsy",1994,-1.17476110304065,0.607626899245458,-2.13759479428729,-0.205282219830751
"170","log_b_div_bmsy",1995,-0.714362439283262,0.640853702149001,-1.7505660911878,0.321444658539207
"171","log_b_div_bmsy",1996,-0.359123167235452,0.625732969211966,-1.34519697548674,0.597672760696312
"172","log_b_div_bmsy",1997,0.25282678193015,0.586836951016419,-0.710752842375144,1.14543393976034
"173","log_b_div_bmsy",1998,0.46228550684785,0.571055127557055,-0.495072921848191,1.28922248780758
"174","log_b_div_bmsy",1999,0.605127095259661,0.539596571432239,-0.324165354359804,1.37828701736989
