"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,37138.724775944,27601.9904170745,11843.1299215797,83378.8539507803
"2","b_t",1952,56.9670657569767,90.2549962606952,3.97317662248229,177.805052319663
"3","b_t",1953,4.1695996477307,8.15552839326499,0.168600525516346,15.3568451139706
"4","b_t",1954,1.48518860615632,3.46102048381715,0.0538484328375118,4.53741084970332
"5","b_t",1955,1.76300059907758,3.07284365444057,0.120730855545645,6.42011231918259
"6","b_t",1956,10.0486666675663,16.3934125726992,0.816588988281752,34.0036544177606
"7","b_t",1957,1447.47327162393,2281.37090363123,231.025504735466,4525.19878760969
"8","b_t",1958,7812.91660785872,11857.8315684057,695.325056922122,26129.8299946136
"9","b_t",1959,16903.0747774549,25323.3318888844,1196.60612418119,58623.5289448763
"10","b_t",1960,20700.6193869725,31456.5572342182,1841.55811890571,68028.5307906875
"11","b_t",1961,18427.9615541684,28669.8783197221,1603.40472835772,62501.4664132427
"12","b_t",1962,21680.2665958389,27743.9103404878,2070.55124044559,67638.1500685089
"13","b_t",1963,22717.1360162493,35249.8054762831,1955.67448301241,72484.7004682901
"14","b_t",1964,20395.8193586513,30219.3772610056,1742.66720629468,67683.4768389409
"15","b_t",1965,14430.7571000702,20393.1622615424,1208.5192334663,48989.644044761
"16","b_t",1966,4233.299970994,5948.44625402218,395.574456840521,13677.9559092521
"17","b_t",1967,11676.1286913332,20362.7282498844,1051.46274808322,38191.7282907428
"18","b_t",1968,16978.9288465267,25334.2329523793,1411.88621705794,56802.5768067857
"19","b_t",1969,19201.3544680796,24552.7812579326,1670.79386784109,59039.3168648291
"20","b_t",1970,20783.970746947,25943.4763488759,1936.27841017901,67708.8114055109
"21","b_t",1971,27233.1470677573,39770.5945475403,2580.217358131,80974.3149728868
"22","b_t",1972,26550.4012388293,35075.0417221692,2922.77937081,82569.215771926
"23","b_t",1973,23532.646309975,31297.9838378549,2188.71984856477,73991.6946005798
"24","b_t",1974,23932.1518983098,37731.461079171,1553.29190310071,79530.1411200222
"25","b_t",1975,20480.2392377411,28510.8839716603,1365.08885018301,65572.2708823251
"26","b_t",1976,22522.2419985333,30393.0450679972,2221.38302084031,73875.9600849854
"27","b_t",1977,23405.9794040598,29798.0256064503,2515.8395646761,76994.6348642412
"28","b_t",1978,24356.7792640083,29218.6375542257,2307.74091434428,78622.4690613823
"29","b_t",1979,29088.8428642083,36472.1239564953,3935.23881112708,86433.8435967746
"30","b_t",1980,37610.7308679706,45553.4775162315,4530.83650041167,107792.351203863
"31","b_t",1981,27729.611994798,35354.3674724355,2290.05475527131,88531.8567014981
"32","b_t",1982,25611.4601631468,32003.8671266658,2389.546058453,88423.96122703
"33","b_t",1983,24833.7584244877,35601.0319730148,2367.1877909352,77983.1354530738
"34","b_t",1984,26510.0972414071,35886.9989695288,2730.49335748954,76634.5147436781
"35","b_t",1985,29988.9898118151,36491.9775505257,3105.89726956761,89066.3846425626
"36","b_t",1986,26330.9850940428,34659.8858249397,3124.78851694681,75636.453410456
"37","b_t",1987,25872.289158979,29976.6121402496,2743.49589115506,78264.2619193475
"38","b_t",1988,30998.4982483899,38432.7940624177,2817.49909901605,97647.5228411602
"39","b_t",1989,31365.0413061733,35393.3782036018,3514.82183915525,90088.5100950811
"40","b_t",1990,33380.2627915871,36340.8314054536,3875.83393678086,100603.502109519
"41","b_t",1991,32594.0367974686,40490.8090285564,3604.1351625651,103205.134850783
"42","b_t",1992,32668.9369054597,37548.1196004166,3596.48203625681,104408.219492837
"43","b_t",1993,30690.7135742938,38954.3292753146,2514.02798902082,98538.8810929878
"44","b_t",1994,30269.581235201,37624.2003027426,3437.83626694511,92297.9161186314
"45","b_t",1995,27553.831901645,36351.7617534965,3046.24523416326,87127.3683823701
"46","b_t",1996,25425.2511090353,30546.7006741259,2417.66310216958,82271.1698261351
"47","b_t",1997,26579.9222657774,35021.5762464396,2336.33468081884,88265.6706400381
"48","b_t",1998,22587.6338681062,29986.8861872869,1878.78467148925,81763.3267624877
"49","b_t",1999,20237.8406162054,27208.8971164925,2220.39391889938,67631.2995699271
"50","b_t",2000,22204.8023893235,32149.9038431452,1990.48701594056,66304.5035634896
"51","b_t",2001,18792.752174169,24369.8594120883,1358.81868936044,62367.0488865363
"52","b_t",2002,21733.3333603539,24744.4562549777,2826.54566518018,71128.6420417022
"53","b_t",2003,28900.5913882849,37861.1073560266,3381.66077602834,84560.3682646667
"54","b_t",2004,28994.8571212025,30869.3529504501,3255.15659063451,83627.8372744848
