"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,58133.0158175359,28607.2961711585,26959.7178305211,109521.713565353
"2","b_t",1952,41047.4640737091,22361.3722498918,16905.7767765851,80750.3564041387
"3","b_t",1953,31225.6133623827,17825.5700186788,12366.6936425354,61888.6019634547
"4","b_t",1954,26020.5546798994,15193.9024998508,10305.274658972,52640.3224063526
"5","b_t",1955,21601.2473026124,12417.7333228241,8374.91497577909,43688.7406654694
"6","b_t",1956,19813.739922202,11966.8133308012,7896.85497225769,38668.0410298959
"7","b_t",1957,23144.5596243989,13254.8909196065,9478.9594756546,47368.9089654292
"8","b_t",1958,41729.121455732,23705.2075297064,16373.5070470932,86420.6053452529
"9","b_t",1959,46689.0899968821,27008.8098189421,18908.6706983766,95835.1288672163
"10","b_t",1960,44545.5250082822,26849.3912097921,17936.0444585521,89760.9589252377
"11","b_t",1961,57173.9481527974,33434.687666648,22734.7449938024,114186.414612133
"12","b_t",1962,105289.981909253,62041.7721784444,40895.4888948665,210517.907961169
"13","b_t",1963,82476.9388020114,46592.0480205024,33313.4051512288,170929.909821628
"14","b_t",1964,70716.5965698856,40022.6191197403,27344.8097528511,145077.554492931
"15","b_t",1965,62350.0039063166,35833.7868079621,24734.3504135641,128205.895177192
"16","b_t",1966,64829.6472947637,37352.056663758,25208.3707774882,129658.138906535
"17","b_t",1967,67774.6515813212,38991.2165456755,26845.4146520309,135733.2877659
"18","b_t",1968,78841.4123037145,45857.0568347689,30415.6468196104,160122.443766802
"19","b_t",1969,104172.764349222,60067.3809702657,41308.6964968105,211270.351538202
"20","b_t",1970,89983.2038021159,51255.7089230576,35969.3737169376,181032.500448648
"21","b_t",1971,87069.2880228472,49279.633353231,35159.8479732092,173416.514935518
"22","b_t",1972,86039.7471672712,50608.0513841817,33862.9002766778,172277.358632131
"23","b_t",1973,72719.0071556421,42045.0380366956,29112.7940209033,144979.322270608
"24","b_t",1974,71869.4593121458,40950.8463265915,29103.6128794424,145345.419322656
"25","b_t",1975,63774.7779279623,37183.6893735024,25112.4137638972,124470.317232737
"26","b_t",1976,60800.555090888,35466.2755375214,23591.334369435,120558.313979166
"27","b_t",1977,81670.1281404811,46641.8455367036,32719.6601465542,164353.614598094
"28","b_t",1978,122756.668487083,68311.029959354,49120.4944446738,242650.10629467
"29","b_t",1979,106040.791975476,61028.5679089903,42024.0130548009,217743.275681495
"30","b_t",1980,90721.8391697458,54361.3833708627,34638.0899080095,184720.687110491
"31","b_t",1981,78355.0475600601,46282.1750700992,30725.643565578,155528.077563972
"32","b_t",1982,58929.8771854963,33440.4514834206,22880.8968767492,117739.333631737
"33","b_t",1983,55174.6504247951,31554.3344967126,21702.0218799857,112754.773818852
"34","b_t",1984,58803.816649447,33879.3681809494,23332.2695608365,119469.024632468
"35","b_t",1985,71647.3845758187,40949.4779113621,30246.691190601,139823.062066157
"36","b_t",1986,79489.2525233941,47270.5634158459,32031.8496740099,159410.91733639
"37","b_t",1987,71075.5528633375,41999.6545146632,27705.8683112779,144073.975234265
"38","b_t",1988,72277.0951475504,42174.1233039879,28584.777234323,146625.007230856
"39","b_t",1989,82217.3916370732,47195.1413639987,32151.175773644,172202.615776027
"40","b_t",1990,82386.043020177,45378.3706189019,33653.3855686584,161198.37465574
"41","b_t",1991,80604.3997756182,44369.9180976771,32969.3474853349,161168.370874801
"42","b_t",1992,102464.321075111,56901.5040288442,42012.2541025429,203362.578297653
"43","b_t",1993,112223.055326434,63539.3108324392,45096.1246541653,223948.075409093
"44","b_t",1994,117965.90865644,67186.0699381428,47373.3290375534,241324.980456045
"45","b_t",1995,113497.477736799,64065.0427203906,45557.2727200737,231329.541423986
"46","b_t",1996,100343.420320339,57424.3708823781,40677.7939131509,199125.007321361
"47","b_t",1997,100705.101550735,57225.2726766996,39219.0443015608,204321.288359557
"48","b_t",1998,95504.2246819656,53427.096399815,38371.2768782839,191199.162022468
"49","b_t",1999,115439.648717951,66281.5094011159,45368.4584348279,233089.427015863
"50","b_t",2000,103312.484431454,59321.4340678116,41237.818767019,209880.785881224
"51","b_t",2001,75638.2524249758,43647.1308978613,30046.3525094791,157223.937502918
"52","b_t",2002,83270.1864912555,48455.3845095451,33590.7711357523,168807.290266578
"53","b_t",2003,80594.4162426895,44740.4875522194,32463.749018141,160868.471407854
"54","b_t",2004,87756.0569368961,51106.7316967442,34654.8280857351,177204.659893637
"55","b_t",2005,101508.408434936,58626.0648763238,41163.582202406,208447.514728482
"56","b_t",2006,116692.878003215,66475.4405744758,46104.710787217,230626.68000451
"57","b_t",2007,109767.016061659,60791.8246597699,44814.1910351774,214178.117287977
"58","b_t",2008,123462.541289692,70230.2699086673,49164.4577779915,252993.832310736
"59","b_t",2009,125608.491760748,71893.9947677625,49376.4756803061,243045.55540519
"60","b_t",2010,122174.248233482,69783.9813818029,49562.1554396597,244313.921474232
"61","b_t",2011,133625.365829785,74195.8023692107,53289.2485615701,270844.253687478
"62","b_t",2012,122770.995503135,71309.253280141,48017.1180683792,243310.354553814
"63","b_t",2013,102019.638048925,58493.1933529221,39122.2051275868,208113.019913538
"64","b_t",2014,86928.3472850744,50637.8724773779,33958.7333039293,173983.846529915
"65","b_t",2015,71907.2121395698,41420.3958874947,28016.6134028139,145455.375276289
"66","b_t",2016,64476.2718326407,43296.5601839675,22051.5362264148,135157.498630132
"67","b_t",2017,52817.7475219228,34082.7442236395,18066.2545196383,113915.015618259
"68","b_t",2018,41192.6608114422,23179.1126365796,15547.3529364972,84333.1901558699
"69","bmsy",1951,45870.1184080708,22192.259833955,21701.9860310551,86367.1016211759
"70","ck",1951,0.00262905598734779,0.00111253293174472,0.00115784867115049,0.00460787323223895
"71","ck",1952,0.00394358398102169,0.00166879939761707,0.00173677300672573,0.00691180984835842
"72","ck",1953,0.00394358398102169,0.00166879939761707,0.00173677300672573,0.00691180984835842
"73","ck",1954,0.00394358398102169,0.00166879939761707,0.00173677300672573,0.00691180984835842
"74","ck",1955,0.00394358398102169,0.00166879939761707,0.00173677300672573,0.00691180984835842
"75","ck",1956,0.00262905598734779,0.00111253293174472,0.00115784867115049,0.00460787323223895
"76","ck",1957,0.00262905598734779,0.00111253293174472,0.00115784867115049,0.00460787323223895
"77","ck",1958,0.00920169595571727,0.00389386526110651,0.0040524703490267,0.0161275563128363
"78","ck",1959,0.00788716796204337,0.00333759879523415,0.00347354601345146,0.0138236196967168
"79","ck",1960,0.00525811197469558,0.00222506586348943,0.00231569734230097,0.00921574646447789
"80","ck",1961,0.0105162239493912,0.00445013172697886,0.00463139468460195,0.0184314929289558
"81","ck",1962,0.0236615038861301,0.0100127963857024,0.0104206380403544,0.0414708590901505
"82","ck",1963,0.0105162239493912,0.00445013172697886,0.00463139468460195,0.0184314929289558
"83","ck",1964,0.00920169595571727,0.00389386526110651,0.0040524703490267,0.0161275563128363
"84","ck",1965,0.00920169595571727,0.00389386526110651,0.0040524703490267,0.0161275563128363
"85","ck",1966,0.0118307519430651,0.00500639819285122,0.00521031902017719,0.0207354295450753
"86","ck",1967,0.0118307519430651,0.00500639819285122,0.00521031902017719,0.0207354295450753
"87","ck",1968,0.0144598079304128,0.00611893112459594,0.00636816769132768,0.0253433027773142
"88","ck",1969,0.0236615038861301,0.0100127963857024,0.0104206380403544,0.0414708590901505
"89","ck",1970,0.013999723132627,0.00592423786154061,0.00616554417387634,0.0245369249616724
"90","ck",1971,0.0144598079304128,0.00611893112459594,0.00636816769132768,0.0253433027773142
"91","ck",1972,0.0143415004109822,0.00606886714266743,0.00631606450112591,0.0251359484818635
"92","ck",1973,0.0080317660413475,0.00339878810648011,0.00353722769036474,0.01407705272449
"93","ck",1974,0.0123039820207877,0.00520665412056527,0.00541873178098428,0.0215648467268783
"94","ck",1975,0.0106871125885688,0.00452244636754227,0.00470665484822673,0.0187310046890513
"95","ck",1976,0.00888620923723553,0.00376036130929714,0.00391352850848865,0.0155746115249676
"96","ck",1977,0.0130664082571185,0.00552928867077124,0.00575450789561792,0.0229011299642276
"97","ck",1978,0.0346246673533704,0.0146520587110779,0.0152488669990519,0.0606856904685869
"98","ck",1979,0.0219920533341643,0.00930633797404455,0.00968540413417382,0.0385448595876788
"99","ck",1980,0.0182850843920039,0.0077376665402845,0.00805283750785164,0.0320477583302219
"100","ck",1981,0.0188897672690939,0.00799354911458578,0.00831914270221625,0.0331075691736368
"101","ck",1982,0.0117255897035711,0.00496189687558143,0.00516400507333117,0.0205511146157857
"102","ck",1983,0.0136710911342085,0.00578517124507252,0.00602081308998253,0.0239609408076425
"103","ck",1984,0.0148673116084518,0.00629137372901637,0.006547634235356,0.0260575231283112
"104","ck",1985,0.0239638453246751,0.0101407376728531,0.0105537906375367,0.042000764511858
"105","ck",1986,0.0293139742589279,0.0124047421889536,0.0129100126833279,0.0513777865394642
"106","ck",1987,0.0238586830851812,0.0100962363555833,0.0105074766906907,0.0418164495825684
"107","ck",1988,0.0279600104254438,0.0118317877291051,0.0123137206176854,0.0490047318248612
"108","ck",1989,0.032981507361278,0.0139567256287375,0.0145252115795829,0.0578057696984376
"109","ck",1990,0.0335467543985578,0.0141959202090626,0.0147741490438802,0.0587964624433689
"110","ck",1991,0.0288933253009522,0.0122267369198744,0.0127247568959439,0.050640526822306
"111","ck",1992,0.048795279125175,0.0206486112131819,0.021489671336553,0.0855221271903548
"112","ck",1993,0.054487185337783,0.0230572450104092,0.0239964137095938,0.0954981727381521
"113","ck",1994,0.053527579902401,0.0226511704903224,0.0235737989446239,0.0938162990083849
"114","ck",1995,0.051161429513788,0.0216498908517522,0.0225317351405885,0.0896692130993699
"115","ck",1996,0.044667661225039,0.0189019345103427,0.0196718489228468,0.0782877662157397
"116","ck",1997,0.0384367985350247,0.0162652314621077,0.0169277475722201,0.0673671066553334
"117","ck",1998,0.0360180670266647,0.0152417011649026,0.0158625267947617,0.0631278632816736
"118","ck",1999,0.0570242243655736,0.0241308392895429,0.0251137376772541,0.0999447704072627
"119","ck",2000,0.0442733028269368,0.018735054570581,0.0194981716221742,0.0775965852309038
"120","ck",2001,0.0228859323698625,0.00968459917083775,0.010079072682365,0.04011153648664
"121","ck",2002,0.0322453716848207,0.0136452164078489,0.0142010139516607,0.0565155651934107
"122","ck",2003,0.0298266401764607,0.0126216861106438,0.0131357931742023,0.0522763218197508
"123","ck",2004,0.0313777832089959,0.0132780805403732,0.0138189238901811,0.0549949670267718
"124","ck",2005,0.0406189150045234,0.0171886337954559,0.017888761969275,0.0711916414380917
"125","ck",2006,0.054789526776328,0.0231851862975599,0.0241295663067761,0.0960280781598596
"126","ck",2007,0.0566824470872184,0.0239862100084161,0.0249632173500045,0.0993457468870717
"127","ck",2008,0.0640438038517922,0.0271013022173013,0.0282051936292259,0.112247791937341
"128","ck",2009,0.0647405036884394,0.0273961234442136,0.0285120235270807,0.113468878343884
