"","variable","year","mean","sd","lower","upper"
"1","b_t",1965,65051.8691161192,43679.7834066032,28089.1100284355,164173.88695457
"2","b_t",1966,66335.5078911451,58551.4483030994,17248.0269964872,192214.010281187
"3","b_t",1967,45369.5427110598,23494.2433182164,18180.7485743667,88885.7954957065
"4","b_t",1968,72135.5452564928,34896.1132594243,33986.0226273085,136736.203555922
"5","b_t",1969,61212.0985805008,44310.3914683899,23658.5042213418,158135.937944588
"6","b_t",1970,84718.5136458786,30147.2552825336,41347.0450644198,136023.891053038
"7","b_t",1971,134530.750179276,80777.7565205744,63196.91898113,268962.827934719
"8","b_t",1972,86879.8549902716,68381.4204736211,28748.8654161037,230516.61861122
"9","b_t",1973,62223.0751414135,29147.3714442565,29102.7362988572,119375.88481302
"10","b_t",1974,131749.53529015,83889.5348672798,47755.4240035727,302482.556799384
"11","b_t",1975,43447.3874610213,42698.9182241763,10790.4079271317,143556.931236704
"12","b_t",1976,51531.4819642882,32689.2076722167,22419.6347954336,127263.554708329
"13","b_t",1977,71052.65947068,33791.7426715137,32062.9493189243,136618.830654522
"14","b_t",1978,24991.2822071253,11516.978811836,10776.9754812444,47679.6115137886
"15","b_t",1979,37521.2440266187,22033.7162607747,12499.7025180544,78430.3311508541
"16","b_t",1980,9532.27665839422,4872.21493080082,3828.06209030663,19272.589656962
"17","b_t",1981,8856.50685126027,5838.55768127745,3441.45108651607,21022.926462424
"18","b_t",1982,5449.74478158022,2475.42313927756,2888.55505044875,10407.2265555424
"19","b_t",1983,5116.28401955506,3483.58655342391,1822.78178607263,13262.6727658583
"20","b_t",1984,8851.05297615386,5155.15293972151,3116.00755575897,19593.561896423
"21","b_t",1985,4251.80917495872,2338.97531612642,1419.07913452342,8463.24509429778
"22","b_t",1986,4115.29220666677,2424.58612449186,1468.19619337237,8858.83492454074
"23","b_t",1987,4964.55120988571,2597.37773874918,2369.84309757028,10235.5911535239
"24","b_t",1988,4583.71698569794,1972.13617373434,2134.33165626305,8501.6283273076
"25","b_t",1989,5702.22961710342,3268.16816451858,2824.08418511846,12422.1821359452
"26","b_t",1990,5518.88600636254,2556.51856937878,2376.98805550143,10162.4870585717
