"","variable","year","mean","sd","lower","upper"
"1","b_t",1965,14250.9603705911,13618.6808181427,4402.91566684855,38130.7012600986
"2","b_t",1966,10153.9049301688,10469.9049660244,2536.59573130778,27911.9843710217
"3","b_t",1967,9485.0299597544,9648.77064757286,2347.8718327045,27543.0335191486
"4","b_t",1968,10304.5570046156,10804.2795231648,2445.21475304844,28773.3195490878
"5","b_t",1969,15935.0432874492,16709.4397345911,3763.38706736717,44708.5798001354
"6","b_t",1970,21021.4163788385,21972.5509137778,4988.96141259321,56586.2313823367
"7","b_t",1971,23009.4276830784,22721.7215546483,5873.95532144178,64274.9969454243
"8","b_t",1972,26324.3682530132,26708.1508619688,6673.28309424257,73008.561505286
"9","b_t",1973,23976.2138883897,23950.8941332549,5911.893874069,65944.642465007
"10","b_t",1974,24390.0202525701,25334.4122107075,6079.04603314389,65063.2989654585
"11","b_t",1975,20672.7561966083,20862.0267991169,5566.89833700265,57956.5718326376
"12","b_t",1976,21499.4085312079,22165.8408231687,5123.56900801789,57930.9491264106
"13","b_t",1977,24192.1159850683,24913.9929430026,6223.93846582336,65178.5412683918
"14","b_t",1978,24912.799516832,25509.8970175876,6281.0511630849,66211.4586862796
"15","b_t",1979,21215.1942181409,21953.3876020039,5234.99304323944,59805.8317057345
"16","b_t",1980,20447.1059442557,21222.1314902086,5118.73738670812,57341.9110248258
"17","b_t",1981,22291.1684447741,23169.8170007476,5623.56979438356,61213.7694423571
"18","b_t",1982,19504.6565380543,20708.5468105081,4740.37767131748,55434.7912454827
"19","b_t",1983,21713.9251501419,22434.3582464333,5608.15336036724,59354.0034100639
"20","b_t",1984,26469.4452733094,28139.981157445,6542.7166803575,74091.0310623132
"21","b_t",1985,24897.3167564077,25286.1067315514,6161.28847663375,70351.5356232534
"22","b_t",1986,23020.3851920382,23101.7601672305,5517.00409270795,65569.1289373517
"23","b_t",1987,22538.5999139777,21136.2448114523,5794.90374338633,60110.0532159451
"24","b_t",1988,23209.9710310392,23427.7564103078,5808.27529034083,66645.2627406205
"25","b_t",1989,17762.8932045606,18493.8299665507,4319.41466777877,48256.6759827158
"26","b_t",1990,16248.118731579,17664.3196154755,4096.51538517702,44502.6173718342
"27","b_t",1991,15398.1720404209,16311.184322549,3970.49507526136,41667.2787116504
"28","b_t",1992,15122.1718843477,16376.3185394227,3612.69055957595,41603.2854500758
