"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,71881.2503511824,63712.3014239593,18202.3200596553,183913.362014296
"2","b_t",1952,96.3176453825132,153.242271328096,7.11542346808229,306.121279855116
"3","b_t",1953,5.04430506185151,9.53231336573164,0.241399874442547,16.2778132705908
"4","b_t",1954,1.42554587012464,2.7055447439292,0.0526952766969126,4.82784726565962
"5","b_t",1955,0.736429990275894,1.67764014984696,0.0348044430525752,2.77506915581805
"6","b_t",1956,0.504848715560831,1.22672370762092,0.0274716532552204,1.80624330811752
"7","b_t",1957,0.424316464795161,0.889552473610218,0.0253100931157671,1.69164951122735
"8","b_t",1958,0.582662365789527,2.26671608947113,0.0260982932435403,1.72964423987355
"9","b_t",1959,0.526380765845566,1.27110675947352,0.0267218909897614,2.13700080134433
"10","b_t",1960,0.490240561702149,1.03726672639732,0.0273253537658878,1.87476010151221
"11","b_t",1961,0.498631145269329,0.963805346292171,0.0304567355199512,1.94804761196373
"12","b_t",1962,0.748135600855631,1.70572616325872,0.0325827339559834,2.80213992686356
"13","b_t",1963,1.26268998868963,2.49991760639505,0.0452319886399877,4.53261694483258
"14","b_t",1964,3.03511541717042,5.94541662280659,0.145220018509875,10.1614320917163
"15","b_t",1965,24.2293680592493,52.1157784484688,1.33242366478569,83.0955153677188
"16","b_t",1966,3595.70727770539,8623.29473118299,348.971163632323,11024.8718088341
"17","b_t",1967,30540.9163229018,102393.018556236,1947.49950494098,93662.0472051558
"18","b_t",1968,63452.5294460588,129053.719513407,4684.26170084701,211506.594289711
"19","b_t",1969,101802.59266525,260712.520771882,5759.82067015267,344860.919220067
"20","b_t",1970,112459.594746995,196680.979981828,6882.51049477034,419257.497299386
"21","b_t",1971,112265.695738071,206734.860536315,5917.03540857609,370318.157547281
"22","b_t",1972,115051.3261792,194930.947849322,7896.15056853626,378448.242265105
"23","b_t",1973,140968.918281083,223668.340428453,9053.24630285365,436134.603415612
"24","b_t",1974,137381.16135563,212440.126954181,9411.1281816295,499475.862488707
"25","b_t",1975,126212.405240948,189880.182908712,9828.95984171634,416308.777934546
"26","b_t",1976,112162.925503742,242669.389354693,5851.78532725434,339840.748623687
"27","b_t",1977,102824.296076611,255458.027925959,5990.76029495335,310962.72529874
"28","b_t",1978,126381.712588179,201766.840645998,10772.6019605228,380931.710267518
"29","b_t",1979,130778.231070112,169403.41274608,10459.0485057037,409762.371518283
"30","b_t",1980,137016.380048702,220084.41494379,11922.3395618276,432564.247087032
"31","b_t",1981,143505.050536754,273725.267895256,10347.8039661027,436894.042071497
"32","b_t",1982,126062.283094651,215412.364215102,10292.6862416695,414174.817521341
"33","b_t",1983,97742.4276237647,179880.777668811,6749.5996158882,321770.876298477
"34","b_t",1984,150120.184793206,209353.000058716,14938.8647984342,478821.556323404
"35","b_t",1985,181049.385854538,265079.388991214,14672.196804889,553332.64447293
"36","b_t",1986,190405.231705457,274480.248945927,15021.8146572819,572432.090197839
"37","b_t",1987,176967.202155192,275515.522105341,16920.962232169,565708.880800977
"38","b_t",1988,177197.860650282,273148.574460473,14014.9742741504,570236.864798405
"39","b_t",1989,183144.766115575,311886.855505517,15219.1388104725,603744.065574042
"40","b_t",1990,159341.679069956,261081.856066069,13042.8154991064,496390.092891534
"41","b_t",1991,138784.028116005,238894.619350585,10668.4312098754,439711.786904298
"42","b_t",1992,129200.920428741,191268.433150957,11829.5323396494,413549.997846614
"43","b_t",1993,140969.420272812,235894.247655757,11057.7083012394,466794.012065656
"44","b_t",1994,153925.704359248,211864.872264872,15435.0788089093,449988.143718436
"45","b_t",1995,193000.758535804,296050.682206278,18399.6942477202,609605.669802367
"46","b_t",1996,167458.660031358,233393.8321643,15525.2298121586,553470.95864147
"47","b_t",1997,113598.671382314,166811.844357814,8761.99528269381,368869.372924596
"48","b_t",1998,85890.1051960861,149123.224261093,6422.77156017251,299660.160199867
"49","b_t",1999,73436.6248397145,127586.213240644,4598.60465658942,236304.687270113
"50","b_t",2000,74273.8802304053,119697.335923101,4928.30849505023,262742.989170206
"51","b_t",2001,76070.0456727571,124839.459151966,5339.06963159432,264589.687339952
