"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,24285.2082152379,4005.17697545637,18439.6624418353,31959.3112433929
"2","b_t",1952,32203.007276979,6820.48701511108,21064.4997882836,45267.7892578676
"3","b_t",1953,28291.6416956039,4334.10859075444,22885.9678824486,36309.8655004867
"4","b_t",1954,25969.0559607865,5111.21662485521,19164.4257892415,36129.4095774092
"5","b_t",1955,23221.8816368375,3795.58480578254,17521.9725789769,30151.3911550583
"6","b_t",1956,20686.1022405221,5117.69806906659,14918.3048634807,31272.198482301
"7","b_t",1957,20932.0063077291,4104.82451029222,16688.4294893244,28708.1481376897
"8","b_t",1958,23719.3310823472,5986.50397872149,16032.7353751161,34809.520081926
"9","b_t",1959,25847.9110435404,5009.33822800365,17997.1664005442,35023.6337754282
"10","b_t",1960,30585.2926968526,6102.88634739026,21397.1985379737,39954.1747927742
"11","b_t",1961,23129.8771451431,4045.05956767878,17830.2226667946,30439.8558073382
"12","b_t",1962,29975.9873168445,5449.55065412868,22431.6489196925,39681.1289592971
"13","b_t",1963,30818.6762774531,5007.00655964912,23997.1352506558,40061.1917474186
"14","b_t",1964,31571.5741814925,5247.96163777517,25170.701833928,40859.5114699479
"15","b_t",1965,25975.38912214,4338.38494436677,19787.6985811995,33875.2725700029
"16","b_t",1966,23349.1113430926,4994.12702456413,16888.6420365341,31497.0117507068
"17","b_t",1967,18409.2214493281,2724.50815793238,14856.0870672934,23287.2860803059
"18","b_t",1968,13167.1888917005,2612.77772408273,10041.7719082178,18140.3982470009
"19","b_t",1969,10810.2954529024,1858.23801652006,8013.99993399749,14208.6105722711
"20","b_t",1970,9788.69688346804,1692.09886965754,7216.63556892561,12576.9369323927
"21","b_t",1971,11482.1960462072,2182.08560454517,8057.67250250216,15348.6013018424
"22","b_t",1972,11054.6547074301,2248.33478577673,8191.97299816117,15086.0233963695
"23","b_t",1973,14369.2589946043,3062.02493180078,10945.2925079165,20222.418207112
"24","b_t",1974,15806.6574476594,3025.83243738791,12255.7001769559,20992.0925780008
"25","b_t",1975,14231.8398975432,2077.02669768093,11374.8981392228,17819.3941589413
"26","b_t",1976,12307.3637921741,2017.25226326495,9460.22715313507,15729.639342576
"27","b_t",1977,11644.7210510304,1847.54608266102,8945.04658145676,15065.807372086
"28","b_t",1978,9846.0767168462,1640.34930015572,7105.75370177343,12484.8853982242
"29","b_t",1979,11610.3957431711,1720.30768389353,9153.82631506763,14670.6599548511
"30","b_t",1980,10566.8107249802,2272.09603599744,7227.91525561712,14301.7010132565
