"","variable","year","mean","sd","lower","upper"
"1","b_t",1966,21868.149545737,15815.464423936,8780.81239390967,48731.6443618712
"2","b_t",1967,26631.7147346199,21409.1255163925,9115.85389906224,63367.7516373334
"3","b_t",1968,28748.5737571145,24463.5464221516,9645.28091042893,68962.0306781503
"4","b_t",1969,29954.7702072217,26061.7285089503,10061.6442062651,69948.1731326278
"5","b_t",1970,30696.085173687,25563.5867907023,10380.4259667943,69487.8550018656
"6","b_t",1971,31859.5060277395,26732.137854528,10831.2616310293,74673.3967613979
"7","b_t",1972,31530.8253936477,25716.9144422617,10471.9130289918,74817.4038738237
"8","b_t",1973,26441.8593048353,22698.844912583,8331.98779536828,64132.1924923113
"9","b_t",1974,18840.8958330019,16722.8638642818,6135.69161565962,45238.1888247318
"10","b_t",1975,13687.2986155157,11502.3247739842,4481.60477841553,32477.5309500278
"11","b_t",1976,14668.7039155054,11939.4795539745,4807.53807327286,34041.6885657963
"12","b_t",1977,18672.7675782149,15777.3630886492,6009.9665767423,44640.4466873496
"13","b_t",1978,26491.323798254,22222.8024410527,8562.3182034232,60989.7344564157
"14","b_t",1979,30126.9792488331,25606.8239866331,9718.51062676685,73444.8079072101
"15","b_t",1980,21581.4251377958,19530.7309056235,6949.34910841498,52011.8329225397
"16","b_t",1981,15927.8760382173,14000.7751697583,5136.57578043519,37573.4740213693
"17","b_t",1982,10594.5063877772,8830.61150143755,3473.15735109313,25657.2499438987
"18","b_t",1983,7451.04506939543,6244.46998360804,2464.95258280312,19171.5459915297
"19","b_t",1984,5033.39716064382,4231.19316024278,1677.35362438889,12082.0282026604
"20","b_t",1985,5620.21085732512,4710.43616754919,1896.09989048651,13844.6516929052
"21","b_t",1986,7167.11375889748,5915.32880409017,2427.55556392516,17784.3992268648
"22","b_t",1987,11482.7515737977,9512.59428119241,3862.32012490252,27807.2863759567
"23","b_t",1988,16833.7081433522,13799.9343899873,5798.22941254479,40926.0636814886
"24","b_t",1989,24090.1294496166,19968.991311807,8023.07424047085,59074.4144560919
"25","b_t",1990,25647.9979545065,22751.1083545051,8333.70116112041,61554.7980395728
"26","b_t",1991,22323.5690532512,18762.7871220485,7280.78657206078,53930.2697609149
"27","b_t",1992,17857.1075376536,15345.8946186201,5951.15271232405,41711.3631609953
"28","b_t",1993,18796.7250141908,15796.7168911297,6485.13278327331,45024.6479258233
"29","b_t",1994,23343.3302068289,20942.8928690154,7848.46106582248,54037.4888135123
"30","b_t",1995,21282.4557974471,17966.0164315131,7211.34376587815,49771.2103751351
"31","b_t",1996,22531.1695852277,18508.9100192169,7524.12640813641,53459.913436116
"32","b_t",1997,22913.6674979418,19186.5494330918,7624.36522751866,55444.1317726488
"33","b_t",1998,21494.5177035749,18819.6365448807,7178.22726614591,50218.008065802
"34","b_t",1999,23950.8810496583,21447.2653601277,7833.57224480895,56203.8943345116
"35","b_t",2000,25906.9573911588,22051.4862908385,8530.97732284905,63617.6356127936
"36","b_t",2001,21645.9985775553,18708.6063417902,6786.84312550121,52480.435311118
"37","b_t",2002,20116.4153666735,16941.3138528584,6587.30235175416,48765.3059912308
"38","b_t",2003,17980.308321651,14646.1620283342,5961.6372335233,42625.1911072944
"39","b_t",2004,18887.3234906488,15802.4125789961,6568.94684938041,45268.1187248811
"40","b_t",2005,24606.4182116358,19870.2456077729,8563.74198224156,57805.4569835677
"41","b_t",2006,31018.6750447011,25957.4846703675,10919.4509319632,71990.5952266817
"42","b_t",2007,31119.8411114008,25403.7232188554,10786.4450787468,75356.4742097254
"43","b_t",2008,32008.0406118421,25823.1283969238,10689.7982407351,77123.4638192741
"44","b_t",2009,31945.6737222638,26804.7542951719,10891.5335932909,75250.271115125
"45","b_t",2010,32105.6883243482,25752.6955367387,11474.0319229905,77029.0869427789
"46","b_t",2011,32433.8470466221,26262.0914852665,10527.9429674938,79066.9247053571
"47","b_t",2012,24071.1731344567,19890.4215392976,7545.33856327386,56799.2496542658
"48","b_t",2013,18150.997155503,15304.960648928,6012.23476009988,42929.8823367008
"49","b_t",2014,16942.0215564837,14528.2802845381,5505.2995425603,41053.3676621894
"50","b_t",2015,14515.4847404236,13594.4376580661,4708.13908322882,34647.1643398513
"51","b_t",2016,14957.6942434298,14289.6633371382,4468.15612733991,36836.1464308199
"52","b_t",2017,14604.6970833592,14124.4924623744,4246.68487073974,35690.3074528572
"53","b_t",2018,12928.4694021432,10923.5217306626,4361.68427358159,30888.8924173432
"54","bmsy",1966,14589.3529005153,10653.5162441481,6068.65023260242,32290.610587521
"55","ck",1966,0.0273214715625671,0.0125150864661014,0.00929064120735129,0.0494343863395663
"56","ck",1967,0.0364286287500894,0.0166867819548019,0.0123875216098017,0.0659125151194217
"57","ck",1968,0.0409822073438506,0.0187726296991521,0.0139359618110269,0.0741515795093494
"58","ck",1969,0.0364286287500894,0.0166867819548019,0.0123875216098017,0.0659125151194217
"59","ck",1970,0.0349714836000858,0.0160193106766098,0.0118920207454097,0.0632760145146448
"60","ck",1971,0.0397527411235351,0.0182094508081775,0.0135178829566961,0.0719270321240689
"61","ck",1972,0.0364286287500894,0.0166867819548019,0.0123875216098017,0.0659125151194217
"62","ck",1973,0.0244527170484975,0.0112010023871608,0.00831512388057941,0.0442437757739118
"63","ck",1974,0.0202178889562996,0.00926116398491503,0.00687507449343996,0.036581445891279
"64","ck",1975,0.0122491264172176,0.00561093043230213,0.00416530414129583,0.0221630832089055
"65","ck",1976,0.0168482407969164,0.00771763665409586,0.0057292287445333,0.0304845382427325
"66","ck",1977,0.0192161016656722,0.00880227748115798,0.00653441764917041,0.0347688517254949
"67","ck",1978,0.0390697043344709,0.017896573646525,0.0132856169265123,0.0706911724655798
"68","ck",1979,0.0500893645313729,0.0229443251878526,0.0170328422134774,0.0906297082892048
"69","ck",1980,0.0291429030000715,0.0133494255638415,0.00991001728784138,0.0527300120955373
"70","ck",1981,0.0249536106938112,0.0114304456390393,0.00848545230271418,0.0451500728568038
"71","ck",1982,0.016074132435977,0.00736304253755632,0.00546599391032501,0.0290838972964448
"72","ck",1983,0.0147535946437862,0.00675814669169475,0.0050169462519697,0.0266945686233658
"73","ck",1984,0.0061928668875152,0.00283675293231632,0.00210587867366629,0.0112051275703017
"74","ck",1985,0.0102455518359626,0.00469315742478802,0.00348399045275673,0.0185378948773374
"75","ck",1986,0.0122946622031552,0.00563178890974563,0.00418078854330808,0.0222454738528048
"76","ck",1987,0.0288241524985082,0.013203416221737,0.00980162647375561,0.0521532775882424
"77","ck",1988,0.0488598983110574,0.022381146296878,0.0166147633591466,0.0884051609039243
"78","ck",1989,0.0709902902767367,0.0325183663344201,0.0241401827371011,0.128447013838973
"79","ck",1990,0.0739045805767439,0.0338533088908043,0.0251311844658852,0.133720015048527
"80","ck",1991,0.0678483210470415,0.0310791313908185,0.0230717589982557,0.122762059409923
"81","ck",1992,0.0413009578454139,0.0189186390412566,0.0140443526251127,0.0747283140166443
"82","ck",1993,0.0475848963048043,0.0217971089284599,0.0161812001028035,0.0860982228747446
"83","ck",1994,0.0697152882704836,0.0319343289660021,0.023706619480758,0.126140075809793
