"","variable","year","mean","sd","lower","upper"
"1","b_t",1995,45827.2206920467,23390.8612401447,19557.8334736307,89236.0373968034
"2","b_t",1996,48873.7625967598,26031.3521942297,20079.9727601068,96817.4151024885
"3","b_t",1997,48981.9351040494,27188.6908652591,19757.0027145097,97496.5767618976
"4","b_t",1998,48880.3456348238,26545.3110340193,19649.8962684498,94951.0708731089
"5","b_t",1999,49856.5282621515,27100.6050934603,19875.8153851575,97066.0601984071
"6","b_t",2000,56549.4172179687,30382.259625585,22490.9358557624,111505.723414785
"7","b_t",2001,63619.6239831458,35210.9485745142,24725.6630564431,127591.1782555
"8","b_t",2002,63388.9448856107,34728.8828216105,25103.6471526502,128205.529134856
"9","b_t",2003,51523.5200657107,28208.911339721,19911.4193424781,102187.569472232
"10","b_t",2004,48963.6782446619,26897.3742187717,19345.5623744412,97722.1911837738
"11","b_t",2005,56569.8070520276,31314.9609213803,22312.3749235659,112992.646364398
"12","b_t",2006,71468.474232613,39311.2184195605,28830.7391448678,144554.374309741
"13","b_t",2007,72787.6293022287,40004.9486088643,29086.4270429608,146864.822059569
"14","b_t",2008,87788.3790369989,48058.3913606556,34898.6273772143,176335.144310546
"15","b_t",2009,90834.5993540011,50179.8837092129,36355.3745265858,184454.562022316
"16","b_t",2010,91718.5572147974,51002.9016379963,36501.5552014572,188182.940590232
"17","b_t",2011,92669.2163889203,50372.7315061585,36614.4712697586,183312.000234987
"18","b_t",2012,75755.2676486898,41846.737122441,30018.7136191189,152852.264120501
"19","b_t",2013,70636.8490487877,38168.2757684974,28010.9666571521,142644.208695178
"20","b_t",2014,73429.8642333064,40491.4835533283,29007.7231707862,147726.211302496
"21","b_t",2015,70456.8779061837,38891.143067966,27772.1820857472,141676.819010821
"22","b_t",2016,56365.2869234211,33994.9089168007,21239.7812730568,114579.162461892
"23","b_t",2017,44724.2238931913,27232.6890867233,16902.1037405006,91757.335480601
"24","b_t",2018,35017.8476825262,21446.9958335938,12540.2676458072,71795.6322485534
"25","bmsy",1995,32426.60570632,16308.6456112664,14189.6907387619,62039.0548566377
"26","ck",1995,0.0108125560882737,0.00514524310013422,0.00455358702955839,0.0199088261773885
"27","ck",1996,0.0175680114850181,0.00835988170959862,0.00739857149227363,0.0323474379306949
"28","ck",1997,0.0133195381193601,0.00633821096936888,0.00560937446473034,0.0245248549017033
"29","ck",1998,0.0148313822449771,0.00705763434089208,0.00624607070426151,0.0273085668804886
"30","ck",1999,0.0136065971305532,0.00647481034370873,0.00573026615578056,0.0250534078090676
"31","ck",2000,0.0154820493370148,0.00736725958939573,0.00652009187064201,0.028506620137181
"32","ck",2001,0.0211849550260512,0.0100810338262807,0.00892180679950644,0.039007204563485
"33","ck",2002,0.0209744450845096,0.00998086095176479,0.00883315289273628,0.0386195990980846
"34","ck",2003,0.0132812635845344,0.0063199977194569,0.00559325557259031,0.0244543811807214
"35","ck",2004,0.0112527132387697,0.00535469547412199,0.00473895428916873,0.0207192739686804
"36","ck",2005,0.0149653431168673,0.00712138071558401,0.00630248682675161,0.0275552249039253
"37","ck",2006,0.0257970364725538,0.0122757304406742,0.01086413330238,0.0474992879418047
"38","ck",2007,0.0236727997897248,0.0112648950705594,0.00996953478860837,0.0435879964273089
"39","ck",2008,0.0335284925073548,0.0159548069228941,0.014120149514666,0.0617349795801498
"40","ck",2009,0.0297201762921929,0.0141425885566521,0.0125163197467331,0.0547228443424501
"41","ck",2010,0.0347724148891916,0.0165467375450334,0.014644013509217,0.0640253755120617
"42","ck",2011,0.0402839479040992,0.0191694455323585,0.0169651339773813,0.0741735913334562
"43","ck",2012,0.022275779268585,0.0106001114487721,0.00938119522549729,0.0410157056114694
"44","ck",2013,0.021969582989979,0.0104544054494763,0.00925224408837705,0.0404519158436141
"45","ck",2014,0.0266964880409588,0.0127037418136057,0.0112429272676707,0.0491554203848795
"46","ck",2015,0.0308110005347267,0.0146616661791435,0.0129757081727239,0.0567313453904344
"47","ck",2016,0.0289929601305037,0.0137965368083245,0.0122100607960725,0.0533838436437939
"48","ck",2017,0.0409728895309626,0.0194972840307741,0.0172552740359018,0.0754421183111305
"49","ck",2018,0.0384084956976376,0.0182769962866715,0.0161753082625198,0.0707203790053428
"50","crashed",1995,0,0,0,0
"51","delta",1995,100,0,100,100
"52","dep_t",1995,0.707088557717825,0.0703191860346268,0.602537043730835,0.822396159827445
"53","dep_t",1996,0.755366221093707,0.132453750847939,0.561560133230283,0.988509120823051
"54","dep_t",1997,0.755278530283359,0.15293886024215,0.53549147048564,1.01079063144075
"55","dep_t",1998,0.756184610400367,0.160708521062145,0.530260129824683,1.02911885010892
"56","dep_t",1999,0.772670742136126,0.162731976211067,0.541442791523512,1.0532819124375
"57","dep_t",2000,0.876307449173421,0.186426650804782,0.612670587560096,1.19494611393252
"58","dep_t",2001,0.981469006250935,0.207690851956679,0.683090671637219,1.33162395734058
"59","dep_t",2002,0.978018028772067,0.206131177136849,0.685706503609864,1.33415608633419
"60","dep_t",2003,0.79403395490663,0.165274824335191,0.562703123987592,1.07067635273667
"61","dep_t",2004,0.755012475988837,0.159050953908182,0.527516747685663,1.03039365778601
"62","dep_t",2005,0.873979210717227,0.189014454766901,0.609818626985686,1.19095873991568
"63","dep_t",2006,1.1042760082041,0.238228718054157,0.762200059388778,1.50747596651792
"64","dep_t",2007,1.12356775042334,0.236885854888516,0.793265022469545,1.52608138589126
"65","dep_t",2008,1.35789725001051,0.284606628822342,0.952990587868947,1.84839958755883
"66","dep_t",2009,1.40246694540146,0.30016182218197,0.985309687790124,1.91525860893552
"67","dep_t",2010,1.41489290545707,0.305918904345993,0.984770999346059,1.95356892494025
"68","dep_t",2011,1.43360963838485,0.309904148921994,1.0108062440658,1.96667231740694
"69","dep_t",2012,1.16984941663697,0.255282283344685,0.819286048026235,1.60029497763118
"70","dep_t",2013,1.09239346686633,0.232321676816679,0.764209606219141,1.47793575747285
"71","dep_t",2014,1.134479930889,0.244352136662316,0.793930091128721,1.55517837629946
"72","dep_t",2015,1.08697976923994,0.226120476750653,0.775191221398578,1.4712293633923
"73","dep_t",2016,0.864600978387449,0.215504043126049,0.567153556234908,1.24595115603134
"74","dep_t",2017,0.684390338055554,0.173841946610828,0.441890228686763,0.992893422482843
"75","dep_t",2018,0.531596023622673,0.131507698973466,0.343603270785801,0.7580650944208
"76","growth_t",1995,0.00977657013816282,0.00266777838264282,0.0057612492035105,0.0143415427096197
"77","growth_t",1996,0.00811839010344361,0.00443648157419336,0.000518142636116217,0.0140210038676187
"78","growth_t",1997,0.00783104564799957,0.00520565811346892,-0.000468799748915793,0.0142256795695916
"79","growth_t",1998,0.00772149113589834,0.00563936473451658,-0.00129558772863586,0.0141182084414436
"80","growth_t",1999,0.00725067260965855,0.00573229184531447,-0.00261179999692367,0.0140979871059152
"81","growth_t",2000,0.00359122347922089,0.00843945151923265,-0.0109566917126637,0.0124670994304437
"82","growth_t",2001,-0.00115196831582494,0.011817408187655,-0.0215121103328483,0.0110619593271243
"83","growth_t",2002,-0.000998079674204646,0.0115254829555229,-0.0220185920937809,0.010974767698948
"84","growth_t",2003,0.00656659133415334,0.00637640015111521,-0.00365446545784522,0.0136526736074128
"85","growth_t",2004,0.00775467534787534,0.00537506715753882,-0.00132034303326421,0.0142058815173522
"86","growth_t",2005,0.00364259185926421,0.00885235040527919,-0.0106773916334716,0.0127108428502719
"87","growth_t",2006,-0.0082584126890941,0.0179272839357802,-0.0366238504119099,0.00863226554401431
"88","growth_t",2007,-0.00921901742344005,0.0172082775513608,-0.0378635443629773,0.00809317135416898
"89","growth_t",2008,-0.0273478981639248,0.0278639175337112,-0.0796569252767023,0.00200819545810572
"90","growth_t",2009,-0.0314385362398977,0.0314156573478182,-0.0846647509772612,0.000747419169314444
"91","growth_t",2010,-0.0326359819367707,0.0323136421227254,-0.0880741250429911,0.000689762399545956
"92","growth_t",2011,-0.0345060104154848,0.0336350243496759,-0.0939876312598846,-0.000507882308794616
"93","growth_t",2012,-0.0126276545917591,0.0210080157231566,-0.0452360190787782,0.00714834085925952
"94","growth_t",2013,-0.00737275377559546,0.0160354320212536,-0.0349493088753098,0.00874042390857728
"95","growth_t",2014,-0.0100316406148649,0.0177351453454538,-0.0412444544676818,0.00813602772931988
"96","growth_t",2015,-0.00697826491867023,0.0151404890043052,-0.0333951775046934,0.0086960200547631
"97","growth_t",2016,0.00337296519238321,0.0104605596496666,-0.0143041580023719,0.01322380048297
"98","growth_t",2017,0.00897406663174373,0.00529804027585126,0.000266977923586955,0.0149816426476829
"99","growth_t",2018,0.011203120066932,0.00291813945490467,0.00706278981276476,0.0158473561382111
"100","index_hat_t",1995,45827.2206920467,23390.8612401447,19557.8334736307,89236.0373968034
"101","index_hat_t",1996,48873.7625967598,26031.3521942297,20079.9727601068,96817.4151024885
