"","variable","year","mean","sd","lower","upper"
"1","b_t",1959,29597.626351515,39183.8789743005,6047.32191707301,83089.0168455485
"2","b_t",1960,30157.8984985135,42196.5120733295,6036.79357946938,86170.8305493002
"3","b_t",1961,26105.8602572638,39030.5910978419,4678.90149009252,81939.9902354588
"4","b_t",1962,40282.8053770701,59077.9998440118,6905.41487769906,121292.092432129
"5","b_t",1963,45923.1707106483,67007.6932444044,8212.18105854443,143273.661157533
"6","b_t",1964,51144.3108529,71778.7145389102,9042.02380586801,157541.152114949
"7","b_t",1965,38177.0273274987,57810.2620074503,6895.80411429748,115431.255599766
"8","b_t",1966,22376.7079204219,32870.0055175639,4026.29817722151,66962.1273674423
"9","b_t",1967,57365.5140517979,80340.6972677135,11317.4364406103,171669.556811084
"10","b_t",1968,64683.2970327344,86136.9162638418,12374.0957900583,189589.786317148
"11","b_t",1969,61308.2428777237,84659.8304383181,11647.0239229665,183870.458000763
"12","b_t",1970,53167.3701677537,80802.5402070126,8392.15700730569,163050.987717565
"13","b_t",1971,26688.141456794,40384.0498066077,4505.85862004159,79544.3000490939
"14","b_t",1972,18398.9327550706,26512.1095365072,2979.49639839113,55487.7255804071
"15","b_t",1973,13747.264149774,22601.749402192,2261.49466022677,40867.3070335132
"16","b_t",1974,12870.2718105267,18729.2759816531,2365.87127162294,38622.8765055718
"17","b_t",1975,13081.2433791261,20366.95696147,2030.52835680581,39178.0868128846
"18","b_t",1976,15169.6220849354,22789.7226621405,2784.13009133443,45974.0641989957
"19","b_t",1977,18750.6349326358,29647.2536618193,3090.45435083944,56499.4476831025
"20","b_t",1978,16738.978513442,24294.5104769294,2998.7693141123,49128.8675602372
"21","b_t",1979,26047.9948491682,38015.1820999329,4482.20481240101,77189.9309312143
"22","b_t",1980,30551.4454985779,42304.9296094485,4873.33465131572,96129.7928015511
"23","b_t",1981,29392.7608696021,45646.0111451957,4236.91942150861,92807.7615457755
"24","b_t",1982,26666.998263709,42005.9929252232,3720.55282548325,82072.4521421932
"25","b_t",1983,24861.7001202449,44323.1717113479,3980.09789584539,73987.9565028382
"26","b_t",1984,17745.2738807672,27464.8898683428,3176.78019837613,52074.4537252328
"27","b_t",1985,19047.1059585763,28073.8517824366,3958.87925123158,53341.5892315729
"28","b_t",1986,19964.6332447473,29927.7490352291,3648.16568902876,58427.9408171949
"29","b_t",1987,17520.2757110437,25847.3886779769,3335.76638238446,49660.4170352735
"30","b_t",1988,20319.8148855731,31393.8109905762,3699.43698673402,60083.8950770097
"31","b_t",1989,19530.7109645919,28539.6032801786,3903.34752165568,59038.5775925571
"32","b_t",1990,21486.5595314194,30818.2051191885,3749.20007215316,67954.3863056346
"33","b_t",1991,19644.3249609771,28425.2014705672,3355.16644710527,58854.7115203673
"34","b_t",1992,25082.6511273331,35347.0652563959,4397.26026530713,72603.4560001777
"35","b_t",1993,22912.2414771077,31728.1368576087,3722.74092106563,68994.8957571159
"36","b_t",1994,19532.572875873,28388.428387958,3263.68149373559,60994.8821442524
"37","b_t",1995,9683.84664991452,14228.9149353289,1603.34393655852,30051.3919831633
"38","b_t",1996,7525.45710504713,11783.6093165357,1247.58390813132,22184.6677997909
"39","b_t",1997,6548.17298941203,10038.4556771728,920.005935205224,18144.9343784443
"40","b_t",1998,7320.36556278733,10994.0449090665,1331.37015043953,21202.5486219427
"41","b_t",1999,7095.80364197471,10710.6456921625,1156.42392923026,22007.672901763
"42","b_t",2000,5753.80294985981,8835.89145337848,1110.24879271383,18116.5432407202
"43","b_t",2001,5313.33046069636,8181.56178089399,1049.47020449674,15287.8240479473
"44","b_t",2002,5679.6154304943,8401.10504897738,1020.36820465097,16650.2424700655
"45","b_t",2003,5170.55312760407,7805.40561466981,899.490665159962,15309.6496546698
"46","b_t",2004,4226.59865976848,6374.60759423055,731.497104300475,12545.8712441452
"47","b_t",2005,3761.39549098533,5503.81392953473,641.928132435258,11779.5306737228
"48","b_t",2006,2940.59166188873,4417.91070576247,408.521201904708,8965.75652391397
"49","b_t",2007,2215.87851198682,3403.46183934573,366.581360127765,7036.11105840409
"50","b_t",2008,2294.62659891844,3599.21618536175,377.586845035443,7088.53098325739
"51","b_t",2009,2453.76136541018,3874.50758421004,452.376897032986,7319.56100947341
"52","b_t",2010,2600.33341426367,4464.07163206174,489.9569238769,7325.4785254835
"53","b_t",2011,2092.10220481926,3276.74199435605,399.060322006111,5732.95229438171
"54","b_t",2012,1799.5757128343,2655.14419838406,376.49542508888,5038.29750015875
"55","b_t",2013,2151.44613932227,3107.67861075554,421.654655522078,6396.77180434188
"56","b_t",2014,3491.2658956754,5085.03825089645,648.708121751879,10229.655355432
"57","b_t",2015,5128.25709652496,7340.80057201509,902.12240656272,15100.869086649
"58","b_t",2016,7483.40642130447,11928.2883933688,1252.2424489537,22380.6703078025
"59","b_t",2017,10209.0394222444,15820.1448096556,1584.46186137648,31568.9578606424
"60","b_t",2018,12846.0652665661,17324.6570931075,2283.3349794369,37553.612739772
"61","bmsy",1959,19539.8864646921,25621.4317530756,4123.88172747316,55159.2004600741
"62","ck",1959,0.0208578998749214,0.0143285484018105,0.0036258683865302,0.048498000142471
"63","ck",1960,0.0208578998749214,0.0143285484018105,0.0036258683865302,0.048498000142471
