"","variable","year","mean","sd","lower","upper"
"1","b_t",2006,566.18923495357,112.041281679469,410.108566414286,760.566341600216
"2","b_t",2007,493.671760885288,104.432568104165,351.704813623342,678.162234957298
"3","b_t",2008,402.401398946653,92.5314455391594,274.011220851155,563.415578438355
"4","b_t",2009,344.265737875744,81.0349047613459,231.283048987236,484.525550415773
"5","b_t",2010,343.078431966898,76.6637433385623,237.713140219814,473.265910696316
"6","b_t",2011,337.89265455179,76.1815974059844,234.370369595217,474.168936771847
"7","b_t",2012,345.226829609578,78.5459926808496,236.329283345889,480.641657530304
"8","b_t",2013,340.777276386522,75.4750225175004,237.300084402079,475.606948489191
"9","b_t",2014,396.136228742526,83.7315196914784,280.041989068973,540.403412445352
"10","b_t",2015,399.866610129119,86.8232339316665,281.611126591794,551.311109680107
"11","b_t",2016,356.213593999045,86.5301564731176,243.510480617043,506.271130095367
"12","b_t",2017,293.496313923456,87.3071816342939,176.317865870379,441.415990082199
"13","b_t",2018,335.117863421586,98.3562219084111,197.574177643604,497.278057850211
"14","bmsy",2006,388.760973975526,64.6026077199346,298.693602727016,498.015665879373
"15","ck",2006,0.306345327404898,0.0492984686060967,0.232924402302225,0.388357834935626
"16","ck",2007,0.345958947327945,0.055673270581023,0.263043937082685,0.438576520487647
"17","ck",2008,0.273333977469025,0.0439861336269914,0.207824789985175,0.346508930308942
"18","ck",2009,0.203349915604976,0.0327239834712883,0.154613611873029,0.257789252500372
"19","ck",2010,0.227118087558804,0.0365488646562441,0.172685332741305,0.287920463831585
"20","ck",2011,0.213913547584455,0.034423930664602,0.162645487814485,0.271180901980911
"21","ck",2012,0.217874909576759,0.0350614108620946,0.165657441292531,0.276202770536113
"22","ck",2013,0.192786283625496,0.0310240362779746,0.146581735931573,0.244397603019834
"23","ck",2014,0.253527167507502,0.0407987326395283,0.192765022594945,0.321399587532932
"24","ck",2015,0.28257715545107,0.0454735874211409,0.214852681433949,0.358226623604414
"25","ck",2016,0.307665781402333,0.0495109620052609,0.233928386794907,0.390031791120693
"26","ck",2017,0.153172663702449,0.0246492343030483,0.116462201151112,0.194178917467813
"27","ck",2018,0.293140787430549,0.0471735346144546,0.222884557375405,0.371618273084952
"28","crashed",2006,0,0,0,0
"29","delta",2006,100,0,100,100
"30","dep_t",2006,0.727229685158197,0.065792041276413,0.631688230426779,0.838698245227373
"31","dep_t",2007,0.633176177744719,0.0654970458153328,0.531348189205175,0.745317391648646
"32","dep_t",2008,0.514829038391582,0.0589043788884924,0.421015317791848,0.613273949648718
"33","dep_t",2009,0.440326766374134,0.0537391726145978,0.35256955871905,0.530867799049035
"34","dep_t",2010,0.43961096934716,0.0519816512878811,0.360613634015035,0.525806631569877
"35","dep_t",2011,0.432922284985331,0.0514887509660809,0.352309755773753,0.518906217312292
