"","variable","year","mean","sd","lower","upper"
"1","b_t",2006,765.389659094204,1074.99004836956,315.278419208879,1970.34101485923
"2","b_t",2007,580.483759136147,889.037021838227,205.504992946377,1655.26287458636
"3","b_t",2008,780.869838982866,1305.50915935911,258.120788064051,2164.68074882342
"4","b_t",2009,992.622700407747,1906.71385986737,348.360538018309,2758.74010178091
"5","b_t",2010,646.475647673412,1376.0918795674,200.967392005555,1822.6892911899
"6","b_t",2011,587.667330777126,1445.5358250171,166.802252395603,1643.29109119982
"7","b_t",2012,454.102964809943,1004.23112358006,103.394131545143,1351.44702642854
"8","b_t",2013,339.579774136693,625.740308654533,88.5805589359721,1015.77627944494
"9","b_t",2014,325.596504048433,592.267672492998,98.4451175018925,928.281017690275
"10","b_t",2015,324.183474452531,645.192072996386,88.7073679526485,981.541932852049
"11","b_t",2016,396.615962519092,798.676541062689,90.6010095833628,1185.95172081248
"12","b_t",2017,443.239772001347,739.344882197364,127.797134159851,1279.5147020961
"13","b_t",2018,412.668927837053,591.182702737909,149.821452216928,1037.10536721045
"14","bmsy",2006,507.194542168613,686.336616686478,232.531129113018,1307.59380696802
"15","ck",2006,0.255788527143898,0.0958716648489135,0.0692110980034744,0.389195203397324
"16","ck",2007,0.138493235691171,0.0519084152220637,0.0374734121786767,0.210724474767612
"17","ck",2008,0.230350994057765,0.0863374661346569,0.0623282263788195,0.350490708031844
"18","ck",2009,0.387215781422255,0.145131691539239,0.104772601397525,0.589168429452302
"19","ck",2010,0.219045423797261,0.0821000444838762,0.0592691723234173,0.333288710091631
"20","ck",2011,0.19502108699369,0.0730955234759672,0.0527686824556877,0.296734464468678
"21","ck",2012,0.130014057995794,0.0487303489839781,0.0351791216371251,0.197822976312452
"22","ck",2013,0.0890313658014674,0.0333696954998981,0.0240900506862922,0.135465733779179
"23","ck",2014,0.0932709546491563,0.0349587286189408,0.025237195957068,0.141916483006759
"24","ck",2015,0.0862049732363414,0.0323103400872029,0.0233252871724416,0.131165234294126
"25","ck",2016,0.0452222810420152,0.0169496866031228,0.0122362162216087,0.0688079917608528
"26","ck",2017,0.0960973472142823,0.036018084031636,0.0260019594709185,0.146216982491812
"27","ck",2018,0.114468898887601,0.0429038942141547,0.0309729223109471,0.174170229144659
"28","crashed",2006,0,0,0,0
"29","delta",2006,100,0,100,100
"30","dep_t",2006,0.744024740610482,0.0738252465422864,0.637796455165383,0.863689444250517
"31","dep_t",2007,0.526867416912296,0.134555940151106,0.364581229910349,0.773466107924983
"32","dep_t",2008,0.707127035206434,0.179843536101804,0.496092985005119,1.04335725836579
"33","dep_t",2009,0.877683388100688,0.232550218365632,0.581481019865451,1.32507309403478
"34","dep_t",2010,0.550423238764518,0.17369835237172,0.357947191800653,0.890409403494557
"35","dep_t",2011,0.484190753294616,0.173965809837408,0.299705690449581,0.797236905923094
"36","dep_t",2012,0.366704520003804,0.148691126138989,0.207902352564128,0.664151207091646
"37","dep_t",2013,0.287562020161116,0.10830364643706,0.173504431023178,0.489426169090376
"38","dep_t",2014,0.28238807282106,0.101264481691731,0.174115502721013,0.468994885804677
"39","dep_t",2015,0.275779813955371,0.103353572774812,0.164029633540263,0.453339788909151
"40","dep_t",2016,0.330395409353266,0.176789636760897,0.165335087768511,0.622804303429459
"41","dep_t",2017,0.404247189969941,0.195930110068942,0.218697570805621,0.728349404420944
"42","dep_t",2018,0.398718629596007,0.105989524395453,0.25429054139986,0.588299771641094
"43","growth_t",2006,0.158744619921156,0.0464589981570804,0.0881452040497135,0.231413757139686
"44","growth_t",2007,0.19805606064639,0.0592554730383645,0.125063795326875,0.282451503129867
"45","growth_t",2008,0.151042774840764,0.112254437342228,-0.039161010294777,0.260025675380557
"46","growth_t",2009,0.0490140530183057,0.209930032405502,-0.355267311675298,0.228916700081458
